ABBR,TERM
TVC,Cherry Capital Airport,
TVF,Thief River Falls Regional Airport,
TVI,Thomasville Municipal Airport,
TVL,South Lake Tahoe,
TVS,Tangshan Sannuhe Airport,
BUB,Municipal,
BUG,Gen V Deslandes,
BUK,Albuq,
MHM,Intermediate,
BUM,Butler,
OGZ,Vladikavkaz Airport,
BUN,Buenaventura,
OHB,Ambohibary,
BUP,Bhatinda Airport,
BUU,Muara Bungo Airport,
BUV,Bella Union,
BJA,Bejaia Airport,
BUY,Bunbury,
OHD,Ohrid Airport,
OHO,Okhotsk,
GHE,Garachine,
GLP,Gulgubip,
GLY,Goldsworthy,
ONT,Ontario International Airport,
OBT,Oakland/Coliseum Stat,
OOL,Gold Coast Airport,
NTL,Newcastle Airport,
OPF,Opa-locka Executive Airport,
OSD,Are Ostersund Airport,
PNR,Pointe Noire Airport,
NME,Nightmute Airport,
PHO,Point Hope Airport,
OKU,Mokuti Lodge,
AEY,Akureyri Airport,
AGA,Agadir Al Massira Airport,
BEL,Val De Cans International Airport,
MJO,Mount Etjo Lodge,
PBK,Pack Creek,
BES,Brest Bretagne Airport,
KKU,Ekuk,
BEY,Beirut-Rafic Hariri International Airport,
BFF,Western Nebraska Regional Airport,
BFH,Bacacheri,
BGG,Bingol Airport,
BGQ,Big Lake,
TYF,Torsby Airport,
BOQ,Boku,
TYN,Taiyuan Wusu International Airport,
TYR,Tyler Pounds Regional Airport,
TYS,McGhee Tyson Airport,
BVM,Belmonte,
TZC,Tuscola Area,
TZN,South Andros,
TZX,Trabzon Airport,
UAC,San Luis Rio Colorado,
UAI,Suai,
BVS,Breves,
UAP,Ua Pou,
UDR,Maharana Pratap Airport,
PJS,Port San Juan,
PBY,Hamilton/Proserpine,
BVX,Municipal,
BVY,Beverly Municipal Airport,
BWF,Walney Island,
BWG,Warren County,
BWH,Butterworth,
BWI,Baltimore/Wash International Thurgood Marshall Airport,
BWK,Brac,
PPO,Powell Point,
DJM,Djambala,
DUE,Dundo,
UAR,Bouarfa,
HAL,Halali,
NUI,Nuiqsut Airport,
PKL,Pakatoa Island,
PMU,SPB,
NWT,Nowata,
OCM,Boolgeeda,
NTG,Nantong Xingdong Airport,
NYA,Nyagan Airport,
NYM,Nadym Airport,
ORS,Waterport,
UGS,Ugashik,
MWU,Mussau,
BLJ,Batna Airport,
AIH,Aiambak,
BGX,Airport Cmdt. Gustavo Kraemer,
BMF,Bakouma,
BGY,Orio al Serio International Airport,
MKH,Mokhotlong,
BNY,Bellona,
KVG,Kavieng Airport,
NYO,Stockholm Skavsta Airport,
NYR,Nyurba Airport,
NYS,New York Skyports Seaplane Base,
BRH,Brahman,
BHD,George Best Belfast City Airport,
UES,Waukesha,
NYT,Nay Pyi Taw Airport,
UET,Quetta Airport,
OBL,Zoersel,
OBN,Oban Airport,
OBO,Tokachi-Obihiro Airport,
OBX,Obo,
UFA,Ufa International Airport,
OCS,Corisco International Airport,
UGC,Urgench Airport,
UGU,Zugapa,
UIB,El Carano Airport,
UKI,Ukiah,
UKK,Ust-Kamenogorsk Airport,
BWQ,Brewarrina,
BWS,Blaine,
OFF,Offutt Air Force Base,
OGG,Kahului Airport,
BWU,Sydney Bankstown,
OGL,Ogle Airport,
OGN,Yonaguni Jima,
UKS,Belbek,
BXD,Bade,
OGR,Bongor,
DIP,Diapaga,
HED,Herendeen,
OGS,Ogdensburg Airport,
OSL,Oslo Airport Gardermoen,
OSN,Osan AB,
OSR,Mosnov Airport,
OSS,Osh Airport,
OST,Ostend-Bruges International Airport,
OSU,Ohio State University,
HLW,Hluhluwe,
ALG,Houari Boumediene Airport,
BNB,Boende,
AMB,Ambilobe,
ANM,Antsirabato,
BOE,Boundji,
ANR,Antwerp International Airport,
BIK,Mokmer Airport,
BIL,Billings Logan International Airport,
BIN,Bamiyan,
BIO,Bilbao Airport,
BIS,Bismarck Airport,
BYJ,Beja International,
BJB,Bojnord,
KKW,Kikwit,
BYM,C.M. de Cespedes,
BYN,Bayankhongor,
UKX,Ust-Kut Airport,
ULI,Ulithi,
ULK,Lensk Airport,
ULM,New Ulm,
OTU,Otu,
ULQ,Farfan,
ULX,Ulusaba,
ULZ,Uliastai,
UMA,Punta De Maisi,
BYO,Bonito Airport,
UME,Umea Airport,
URJ,Uraj Airport,
BYS,Bicycle Lake AAF,
BYV,Beira Lake SPB,
BZF,Benton Field,
OUA,Ouagadougou International Airport,
BZK,Bryansk International Airport,
OUE,Ouesso,
BZR,Beziers Vias Airport,
OUH,Oudtshoorn,
OUR,Batouri,
URT,Surat Thani Airport,
OUS,Ourinhos,
PRT,Coast Guard Heliport,
OUT,Bousso,
OVA,Bekily,
OVD,Asturias Airport,
OVR,Olavarria,
PAD,Paderborn Lippstadt Airport,
SQW,Skive Airport,
RMN,Rumginae,
MNY,Mono,
PAE,Snohomish County - Paine Field,
PAG,Pagadian Airport,
BKS,Fatmawati Soekarno Airport,
PAH,Barkley Regional Airport,
UYU,Uyuni,
PAN,Pattani,
PAO,Palo Alto,
PAP,Toussaint Louverture International Airport,
PEI,Matecana International Airport,
BKW,Beckley Airport,
PLJ,Placencia,
NSI,Nsimalen Airport,
PNL,Pantelleria Airport,
PNO,Pinotepa Nacional,
PNQ,Pune Airport,
PSE,Mercedita Airport,
PSF,Pittsfield,
BLA,General Jose Antonio Anzoategui International Airport,
URY,Gurayat Airport,
PSK,New River Valley,
UTS,Ust-Tsilma,
PSP,Palm Springs International Airport,
PSR,Abruzzo Airport,
PSS,Posadas Airport,
PSU,Putussibau Airport,
NIN,Ninilchik,
NKN,Nankina,
BLH,Blythe,
NMN,Nomane,
BLI,Bellingham International Airport,
BLK,Blackpool Airport,
BLR,Kempegowda International Airport,
BLT,Blackwater,
BMA,Bromma Airport,
PEL,Pelaneng,
BMB,Bumba,
NJC,Nizhnevartovsk Airport,
NJF,Al-Najaf International Airport,
BMC,Brigham City,
IIA,Inishmaan,
NVN,Nervino,
NWI,Norwich International Airport,
OAX,Xoxocotlan Airport,
OBF,Oberpfaffenhofen,
ORL,Orlando Executive,
VAN,Van Ferit Melen Airport,
ORU,Oruro,
OSB,Osage Beach,
VAR,Varna Airport,
OSM,Mosul,
NGP,NAS,
OMD,Oranjemund Airport,
NUP,Nunapitchuk,
OBM,Morobe,
OKP,Oksapmin,
OFJ,Olafsfjordur,
NHZ,NAS,
NIC,Nicosia International,
BMH,Bomai,
NIX,Nioro,
BNO,Burns,
BNS,Barinas,
BNX,Banja Luka Airport,
BOC,Bocas Del Toro,
NGK,Nogliki Airport,
BOG,El Dorado International Airport,
BOM,Chhatrapati Shivaji International Airport,
NHA,Nha Trang,
BOO,Bodo Airport,
BOS,Logan International Airport,
BPG,Barra Do Garcas,
NHT,Northolt,
BPH,Bislig,
NIM,Niamey Airport,
BPM,Begumpet,
NIR,Chase Field NAS,
NIO,Nioki,
NIT,Niort,
IMN,Imane,
INF,Newark Liberty International,
BRQ,Turany Airport,
PPW,Papa Westray Airport,
OFI,Ouango Fitini,
NJA,Atsugi NAS,
NJJ,Nenjian Melgen Airport,
VCE,Venice Marco Polo Airport,
NKA,Nkan,
NMT,Namtu,
NMU,Namu,
NNA,NAF,
NND,Nangade,
NKG,Nanjing Lukou International Airport,
NKM,Nagoya Airport,
NKP,Nakhon Phanom Airport,
NLD,Quetzalcoatl International Airport,
BRS,Bristol Airport,
NLE,Jerry Tyler Memorial,
UNT,Baltasound,
NLH,Ninglang Luguhu Airport,
AHU,Charif Al Idrissi Airport,
NLI,Nikolaevsk-na-Amure,
BRD,Crow Wing County Airport,
BRE,Bremen Airport,
BRM,Barquisimeto Airport,
NLK,Norfolk Island Airport,
BRN,Bern Airport,
BRU,Brussels Airport,
NLN,Kneeland,
BSD,Baoshan Airport,
BSN,Bossangoa,
NLO,N'dolo,
NLP,Nelspruit Airport,
NLT,Nalati Airport,
GOC,Gora,
MJA,Manja,
NLV,Nikolaev (Mykolaiv),
NNR,Connemara,
NNT,Nan Airport,
NNU,Nanuque,
NOC,Ireland West Airport Knock,
NOK,Nova Xavantina,
NOS,Fascene Airport,
NOT,Novato,
NOU,Tontouta Airport,
NOV,Huambo,
BLE,Dala Airport,
NPH,Nephi,
BSP,Bensbach,
NPL,New Plymouth Airport,
NPY,Mpanda Airport,
NQY,Newquay Cornwall Airport,
BTA,Yaoundé,
VIR,Virginia,
NRA,Narrandera,
NSE,Whiting Field NAS,
NSF,Andrews NAF,
NSH,Now Shahr Airport,
NSV,Noosaville,
NSN,Nelson Airport,
NTX,Natuna Ranai,
BUD,Budapest Ferenc Liszt International Airport,
NUA,Gregory's Lake,
NSY,NAS Sigonella,
BUF,Buffalo Niagara International Airport,
NTB,Notodden Airport,
NTC,Santa Carolina,
NTD,Point Mugu NAS (Naval Base Ventura County,
BUJ,Ain Eddis,
BUL,Bulolo,
BUQ,Bulawayo Airport,
BUR,Bob Hope Airport,
BUS,Batumi Airport,
BUT,Bathpalathang Airport,
BVG,Berlevag Airport,
BVO,Bartlesville,
NRK,Kungsangen Airport,
KSX,Yasuru,
BZG,Bydgoszcz Airport,
EMN,Nema,
NTI,Bintuni,
NTJ,Manti-Ephraim,
BZH,Bumi Hills,
NRN,Weeze Airport,
NRT,Narita International Airport,
NTO,Santo Antao,
NSL,Slayton Municipal,
NTR,Aeropuerto del Norte International Airport,
NTT,Kuini Lavenia,
NTU,NAS,
NTY,Pilanesberg International Airport,
NSO,Scone,
NST,Nakhon Si Thammarat Airport,
NTE,Nantes Atlantique Airport,
NUS,Norsup Airport,
NWP,NS,
NVP,Novo Aripuana,
NVS,Nevers,
NWU,Bermuda NAS,
BZI,Balikesir,
NXX,Willow Grove NAS,
NVT,Navegantes Airport,
BZL,Barisal Airport,
BEM,Beni Mellal Airport,
BGH,Abbaye,
BOH,Bournemouth Airport,
NYE,Nyeri,
BXO,Buochs,
BXR,Bam,
BXU,Butuan Airport,
BYC,Yacuiba,
BYU,Bindlacher-Berg,
BZC,Buzios,
BZN,Bozeman Yellowstone International Airport,
BZO,Bolzano,
BZZ,Raf Brize Norton,
CFD,Coulter Field,
NYG,Quantico NAS,
NYK,Nanyuki,
CBO,Awang Airport,
SGJ,Sagarai,
GMT,Granite Mountain,
VNO,Vilnius International Airport,
GRH,Garuahi,
MPN,Mount Pleasant,
MYO,Myroodah,
CBQ,Calabar Airport,
ODA,Ouadda,
NWH,Parlin Field,
NYI,Sunyani,
NYN,Nyngan,
VNS,Lal Bahadur Shastri International Airport,
NYW,Monywar Airport,
OBK,Sky Harbor,
OBD,Obano,
ATR,Mouakchott,
BWP,Bewani,
OBS,Vals-Lanas,
OCA,Ocean Reef,
OCE,Municipal,
CAK,Akron-Canton Airport,
OCF,Taylor Field,
CAL,Machrihanish Airport,
OCJ,Boscobel,
OCN,Municipal,
CAP,Cap Haitien Airport,
OCV,Aguasclaras,
OCW,Warren Field,
ODJ,Ouanda Djalle,
CAY,Felix Eboue Airport,
CAZ,Cobar,
CBE,Greater Cumberland Regional,
CBJ,Cabo Rojo,
CBV,Coban,
CGM,Mambajao,
CGN,Cologne Bonn Airport,
OGB,Municipal,
OGD,Municipal,
OGO,Abengourou,
OGU,Ordu Giresun Airport,
OGV,Ongava Game Reserve,
VPS,Destin Fort Walton Beach Airport,
ALZ,Alitak SPB,
CCP,Carriel Sur Airport,
OPB,Open Bay,
CDC,Cedar City Airport,
ONE,Onepusu,
OUK,Outer Skerries,
WYB,SPB,
OHA,Royal Air Force Base,
ENJ,El Naranjo,
OHI,Oshakati,
CCR,Buchanan Field,
IKL,Ikela,
OHR,Wyk Auf Foehr,
OKT,Oktiabrskij,
OLC,Sen. Eunice Micheles,
OLD,Old Town,
OLE,Municipal,
SGW,Saginaw Bay,
OLF,Wolf Point International Airport,
OLG,Olare Airport,
OLI,Rif,
OLL,Ollombo,
OLN,Colonia Sarmiento,
OLO,Olomouc,
OHS,Sohar Airport,
CDI,Cachoeiro Itapemirim,
OLR,Salerno Air Base,
OLS,International,
OIM,Oshima,
OIT,Oita Airport,
OJC,Johnson Executive,
KEE,Kelle,
CDR,Chadron Airport,
ABO,Aboisso,
ABW,Abau,
OKA,Naha Airport,
CCS,Simon Bolivar International Airport,
CDT,Castellon,
OKD,Okadama Airport,
OKJ,Okayama Airport,
CHT,Karewa,
OKK,Kokomo,
OKY,Oakey,
VPZ,Porter County,
OLA,Orland,
OLB,Olbia Costa Smeralda Airport,
GNU,Goodnews Bay,
KGR,Kulgera,
MYH,Marble Canyon,
OMB,Omboue,
OLJ,Olpoi,
YWM,Williams Harbour,
OLM,Olympia,
OOM,Snowy Mountains Airport,
OPA,Kopasker,
OMA,Eppley Airfield,
SHK,Sehonghong,
CFB,Cabo Frio International Airport,
SMJ,Sim,
CFC,Cacador,
OMC,Ormoc,
OMF,King Hussein,
OMH,Urmia Airport,
KBO,Kabalo,
AJJ,Akjoujt,
OMO,Mostar Airport,
OMR,Oradea Airport,
OMS,Omsk Airport,
OND,Ondangwa Airport,
ONJ,Odate Noshiro Airport,
BXE,Bakel,
ONK,Olenyok Airport,
CEK,Chelyabinsk International Airport,
ONO,Ontario Municipal Airport,
ONQ,Zonguldak,
CEN,Ciudad Obregon Airport,
ONS,Onslow Airport,
OSF,Ostafyevo International Business Airport,
OSH,Wittman Field,
OSI,Osijek Airport,
OSJ,Ol Seki Airport,
OSK,Oskarshamn,
OTT,Andre Maggi,
CEQ,Mandelieu,
CER,Maupertus,
CEZ,Montezuma County Airport,
CJH,Chilko Lake,
CJN,Gillespie Field,
VSA,Carlos Rovirosa Perez International Airport,
CKA,Kegelman Af,
OSX,Attala County,
OTN,Green,
OUD,Les Angades Airport,
OVG,Overberg (FAOB),
OUG,Ouahigouya,
OUL,Oulu Airport,
OUM,Oum Hadjer,
CFN,Donegal Airport,
OUN,Max Westheimer,
OUZ,Zouerate,
OVB,Novosibirsk Tolmachevo Airport,
OVL,Ovalle,
OVS,Sovetsky Airport,
OWA,Owatonna,
OWB,Daviess County Airport,
AEO,Aioun El Atrouss,
OWD,Memorial,
AZZ,Ambriz,
OYS,Yosemite Ntl Park,
OZA,Ozona Municipalcipal,
OZC,Labo Airport,
BKJ,Boke,
OZG,Zagora Airport,
OYE,Oyem,
CFE,Clermont-Ferrand Auvergne Airport,
OZP,Moron,
CFS,Coffs Harbour Airport,
OZR,Cairns AAF,
OZU,Montilla,
PAA,Pa-an,
PAB,Bilaspur,
PAC,Marcos A. Gelabert International Airport,
KMK,Makabana,
CFG,Jaime Gonzalez Airport,
OZZ,Ouarzazate Airport,
PAK,Port Allen,
PAF,Pakuba,
PAV,Paulo Afonso Airport,
PAJ,Para Chinar,
PAM,Tyndall AFB,
CFK,Chlef International Airport,
CFU,Ioannis Kapodistrias Airport,
CGD,Changde Airport,
CGF,Cuyahoga County,
NDB,Nouadhibou Airport,
ORN,Es Senia Airport,
PEB,Pebane,
CIC,Chico Municipal Airport,
PAQ,Palmer Municipalcipal,
PAS,Paros Airport,
PAT,Jay Prakash Narayan International Airport,
EIA,Popondetta,
ALJ,Alexander Bay Airport,
PCL,Capitan Rolden Airport,
FGD,Fderik,
VYI,Vilyuisk,
BZU,Buta,
PCM,Playa Del Carmen,
WGO,Winchester Regional,
PCN,Picton Aerodrome,
PBD,Porbandar,
PCP,Principe,
PBF,Grider Field,
PBI,Palm Beach International Airport,
CHM,Chimbote,
PCS,Picos,
PBL,Puerto Cabello,
PBM,Zanderij International Airport,
PBU,Putao,
PBZ,Plettenberg Bay Airport,
PCB,Pondok Cabe,
CHO,Charlottesville Albemarle Airport,
PCD,Prairie du Chien Municipal Airport,
PCF,Potchefstroom,
PCQ,Bounneua,
PEQ,Pecos City,
PER,Perth Airport,
CHQ,Chania International Airport,
PES,Petrozavodsk Airport,
CIG,Craig-Moffat,
CIH,Changzhi Airport,
CIY,Comiso Airport,
CMY,Fort Mccoy,
CMZ,Caia,
PET,Federal Airport,
PEU,Puerto Lempira,
PGB,Pangoa,
WIC,Wick Airport,
PFJ,Patreksfjordur,
PAW,Pambwa,
PDG,Minangkabau International Airport,
PDL,Joao Paulo II Airport,
CJM,Chumphon Airport,
CJS,Abraham Gonzalez International Airport,
WJA,Woja,
PDO,Pendopo,
PDR,Presidente Dutra,
PDT,Eastern Oregon Regional Airport,
PDU,Paysandu,
PDX,Portland International Airport,
PDZ,Pedernales,
PEH,Pehuajo,
PEX,Pechora Airport,
PGN,Pangia,
PGU,Ala'Marvdasht Airport,
PGX,Perigueux Airport,
KND,Kindu,
CJT,Copalar,
PGZ,Comte Antonio Amilton Beraldo Airport,
PHA,Phan Rang,
PHB,Santos Dumont,
PHG,Port Harcourt City,
PHH,Phan Thiet,
CKV,Outlaw Field,
CLA,Comilla,
PHI,Pinheiro,
CLE,Cleveland Hopkins International Airport,
PHJ,Port Hunter,
PFB,Passo Fundo Airport,
PFO,Paphos International Airport,
PFQ,Parsabad,
CLJ,Avram Iancu Cluj International Airport,
CLL,Easterwood Airport,
CON,Concord,
PHP,Philip,
NDD,Sumbe,
PFR,Ilebo,
PGH,Pantnagar Airport,
CQP,Cape Flattery,
PGK,Depati Amir Airport,
LIV,Livengood,
PGQ,Buli Airport,
CMX,Houghton County Airport,
CNB,Coonamble,
CNF,Tancredo Neves International Airport,
PGS,Peach Springs,
PGV,Pitt-Greenville Airport,
PHC,Port Harcourt International Airport,
PHF,Newport News/Williamsburg International Airport,
PJM,Puerto Jimenez,
PJZ,Puerto Juarez,
PHS,Phitsanulok Airport,
PKB,Wood County Airport,
CNM,Cavern City Air Terminal,
PKC,Petropavlovsk-Kamchatsky Airport,
PKD,Park Rapids,
PHT,Henry County,
PKF,Park Falls,
CNN,Kannur International Airport,
PHW,Phalaborwa Airport,
CNO,Chino,
ANZ,Angus Downs,
AOA,Aroa,
PKH,Alexion,
PHX,Phoenix Sky Harbor International Airport,
PHY,Phetchabun,
PIA,Peoria International Airport,
BGJ,Borgarfjordur Eystri,
BZV,Maya Maya Airport,
CMI,Willard University Airport,
CSJ,Cape St Jacques,
CNS,Cairns Airport,
CNX,Chiang Mai International Airport,
PTC,Port Alice,
CRK,Diosdado Macapagal International (Clark International),
PKM,Port Kaituma,
EAL,Elenak,
EGM,Sege Airport,
PIB,Hattiesburg-Laurel Regional Airport,
PIE,St. Petersburg-Clearwater International Airport,
PIH,Pocatello Regional Airport,
PIN,Parintins,
PIR,Pierre Regional Airport,
PJB,Payson,
WVK,Manakara,
PLP,La Palma,
WVL,Robert Lafleur,
PLT,Plato,
PLU,Belo Horizonte Airport,
PLV,Poltava,
CRL,Charleroi Brussels South Airport,
ASK,Yamoussoukro,
BVC,Rabil Airport,
PLY,Plymouth,
CQD,Shahre-kord,
CRA,Craiova Airport,
PMA,Wawi Airport,
CRE,Grand Strand Airport,
CRV,Crotone,
PMB,Intermediate,
PMD,La Palmdale Regional Airport,
YYE,Northern Rockies Regional Airport,
YYF,Penticton Airport,
YYG,Charlottetown Airport,
YYJ,Victoria International Airport,
CSM,Sherman,
PME,Portsmouth,
PMG,International,
CST,Castaway,
PMH,Greater Portsmouth Regional,
POI,Potosi,
PNJ,Peng Lai/Sha He Kou,
PNK,Supadio International Airport,
PIQ,Pipillipai,
POM,Jacksons International Airport,
AIG,Yalinga,
AMH,Arba Mintch Airport,
AQY,Alyeska,
PNG,Paranagua,
PNN,Princeton,
DIW,Mawella Lagoon Airport,
DOE,Djoemoe,
PNU,Panguitch,
PNT,Teniente J. Gallardo,
PNV,Panevezys,
EPN,Epena,
PNX,Grayson County,
PNY,Pondicherry,
BTO,Botopasie,
PNZ,Petrolina International Airport,
CBU,Cottbus,
POB,Pope AFB,
COA,Columbia,
CSK,Cap Skirring,
CSN,Carson City,
CSU,Santa Cruz Do Sul,
BCG,Bemichi,
CTA,Catania-Fontanarossa Airport,
POC,Brackett Field,
GWN,Gnarowein,
HZP,Horizon,
YZY,Zhangye Ganzhou Airport,
ZAD,Zadar Airport,
ZAG,Zagreb International Airport,
POE,Polk AAF,
POF,Earl Fields Memorial,
ZAM,Zamboanga International Airport,
ZIS,Alzintan Airport,
ZJG,Jenpeg,
BEQ,Honington,
ZJN,Swan River,
ZKB,Kasaba Bay,
CTG,Rafael Nunez International Airport,
CUI,Currillo,
PPM,Pompano Beach,
PPR,Pasir Pangarayan,
CVC,Cleve,
LZM,Luzamba,
CVE,Covenas,
CVF,Courchevel,
AIW,Ai-ais,
AZB,Amazon Bay,
XGR,Kangiqsualujjuaq Airport,
CDL,Candle,
POJ,Patos De Minas,
CUL,Culiacan International Airport,
CUM,Cumana,
PPU,Papun,
CUN,Cancun International Airport,
POO,Pocos De Caldas,
POR,Pori Airport,
PQC,Phu Quoc Airport,
CUP,Carupano,
CUR,Curacao International Airport,
CUT,Cutral,
CUU,Gen Fierro Villalobos Airport,
CUV,Casigua,
PQD,Pasikudha SPB,
PQI,Presque Isle Municipal Airport,
POS,Piarco International Airport,
POZ,Poznan Airport,
PPF,Tri-City,
PPI,Port Pirie,
CUZ,Alejandro Velasco Astete International Airport,
CVG,Cincinnati/Northern Kentucky Airport,
PPJ,Pulau Panjang,
XPK,Pukatawagan,
CVI,Caleta Olivia,
PPK,Petropavlovsk Airport,
PPN,Guillermo Leon Valencia Airport,
PPQ,Paraparaumu Airport,
PPS,Puerto Princesa International Airport,
PSI,Pasni,
PSD,Port Said,
PSH,St Peter,
PSJ,Poso,
PSL,Perth,
CVJ,General Mariano Matamoros Airport,
CVM,Ciudad Victoria Airport,
PSM,Pease Air Force Base,
PSN,Palestine Municipalcipal Airport,
PSO,Cano Airport,
PSQ,SPB,
CXI,Christmas Island Airport,
GRC,Grand Cess,
CXJ,Hugo Cantergiani Regional Airport,
CXL,International,
CXO,Montgomery Co,
CXP,Tunggul Wulung,
CXR,Cam Ranh International Airport,
CXT,Charters Towers,
CYC,Caye Chapel,
AXU,Axum Airport,
BDZ,Baindoung,
BFX,Bafoussam,
BGB,Booue,
BGK,Big Creek,
BOV,Boang,
CWA,Central Wisconsin Airport,
CWB,Afonso Pena International Airport,
YAA,Anahim Lake,
PST,Preston,
XSI,South Indian Lake,
CWC,Chernivtsi International Airport,
CWF,Chennault International.,
CWI,Clinton,
CWJ,Cangyuan Washan Airport,
CWL,Cardiff Airport,
CWT,Cowra,
CWW,Corowa,
CWX,Cochise County Airport,
CXA,Caicara Del Orinoco,
CXB,Coxs Bazar Airport,
CXC,Chitina Airport,
MBF,Mount Buffalo,
CGT,Chinguitti,
MDM,Munduku,
CHY,Choiseul Bay Airport,
PQS,Pilot Station Airport,
CYD,San Ignacio Town Airstrip,
YCO,Kugluktuk Airport,
CYE,Crystal Lake,
CYI,Chiayi Airport,
GEF,Geva Airstrip,
RMZ,Tobolsk Remezov Airport,
QDV,Comte. Rolim Adolfo Amaro State Airport,
QKS,Keystone Airport,
CYL,Coyoles,
SDW,Sindhudurg Airport,
CYM,Chatham SPB,
CYO,Cayo Largo Del Sur Airport,
CYP,Calbayog Airport,
CYR,Laguna De Los Patos,
CYU,Cuyo,
SAP,Ramon Villeda Morales International Airport,
CYW,Celaya,
CYX,Cherskiy Airport,
YBX,Blanc Sablon,
SFB,Orlando Sanford International Airport,
CYZ,Cauayan Airport,
SFY,Tri-Township Airport,
CZA,Chichen Itza,
SGC,Surgut Airport,
SGF,Springfield-Branson National Airport,
SGN,Tan Son Nhat International Airport,
SGO,St George,
SGQ,Sanggata,
SGX,Songea,
CZB,Carlos Ruhl,
CZE,Coro,
SGY,Skagway Municipal,
SGZ,Songkhla,
SKG,Thessaloniki International Airport,
SKN,Stokmarknes Skagen Airport,
SLU,George F. L. Charles Airport,
SLY,Salekhard Airport,
SOF,Sofia Airport,
SOG,Sogndal Airport,
MFO,Manguna,
YEK,Arviat,
YIB,Atikokan,
SOJ,Sorkjosen Airport,
BMQ,Bamburi,
CHU,Chuathbaluk Airport,
CZJ,Corazon De Jesus,
CZK,Cascade Locks/Stevens,
RCP,Cinder River,
QCU,Heliport,
CZM,Cozumel Airport,
YFX,Fox Harbour (St Lewis),
CZS,Campo Internacional Airport,
CZT,Carrizo Springs,
CZU,Corozal Airport,
QFI,Heliport,
CZW,Czestochowa,
PVK,Aktion Airport,
PVL,Pike County Airport,
CZX,Changzhou Airport,
PVO,Reales Tamarindos,
YEV,Inuvik Mike Zubko Airport,
PVS,Provideniya,
YGM,Gimli,
PVU,Provo Airport,
CZZ,Campo,
DAA,Davison AAF,
PWE,Pevek Airport,
DAB,Daytona Beach International Airport,
PWK,Chicago Executive Airport,
PWM,Portland International Jetport,
PWN,Pitts Town,
DAC,Hazrat Shahjalal International Airport,
PWQ,Pavlodar Airport,
DAD,Da Nang International Airport,
PWT,Bremerton,
SPH,Sopu,
YHC,Hakai Pass,
DBY,Dalby,
DCI,Rafsu Decimomannu,
DCM,Mazamet Airport,
DCR,Decatur Hi-Way,
DCT,Duncan Town,
DDP,Dorado Beach,
DCU,Pyor,
DCY,Daocheng Yading Airport,
YHY,Hay River,
DDU,Dadu,
PXO,Porto Santo Airport,
PXR,Surin,
QSZ,Shache Airport,
RBD,Redbird,
RBF,Big Bear City Airport,
COO,Cotonou Airport,
RBK,French Valley,
YPJ,Aupaluk Airport,
CPG,Carmen De Patagones,
CUS,Municipal,
YKK,Kitkatla,
RFP,Raiatea Airport,
RGO,Orang,
DAG,Barstow-Daggett,
DAJ,Dauan Island,
RGS,Burgos,
RHI,Oneida County Airport,
RHO,Rhodes Airport,
RJI,Rajouri,
DAL,Dallas Love Field,
DAM,Damascus International Airport,
DAN,Municipal,
SBC,Selbang,
DAP,Darchula,
DAS,Great Bear Lake,
RNB,Kallinge Airport,
RJK,Rijeka Airport,
DAT,Datong Airport,
DAV,Enrique Malek Airport,
DAX,Dazhou Heshi Airport,
DAY,James M. Cox Dayton International Airport,
DEB,Debrecen Airport,
DAZ,Darwaz,
DEF,Dezful Airport,
GRL,Garasa,
RJL,Agoncillo Airport,
RJM,Marinda Airport,
YFI,Firebag,
YKQ,Waskaganish Airport,
DBA,Dalbandin,
DBD,Dhanbad,
DBN,Municipal,
DBO,Dubbo City Regional Airport,
DBP,Debepare,
DBQ,Dubuque Municipal Airport,
DBS,Dubois,
DBU,Dambulu Oya Tank,
DBV,Dubrovnik Airport,
YNA,Natashquan,
YSO,Postville Airport,
YQC,Quaqtaq,
YPH,Inukjuak,
MIX,Miriti,
RJN,Rafsanjan,
RKD,Knox County Regional Airport,
RKE,Roskilde Airport,
RKS,Rock Springs-Sweetwater County Airport,
RKT,Ras Al Khaimah International Airport,
RLG,Laage Airport,
RNP,Rongelap Island,
RNS,Rennes Airport,
RNT,Renton,
ROB,Roberts International Airport,
ROI,Roi Et Airport,
ROK,Rockhampton Airport,
RUD,Shahrud,
RUL,Maavaarulaa Airport,
RUN,Reunion Roland Garros Airport,
RUP,Rupsi,
RVN,Rovaniemi Airport,
RVT,Ravensthorpe,
RVY,Rivera,
RZE,Rzeszow International Airport,
RZH,Preobrazheniye,
RZR,Ramsar,
DEC,Decatur Airport,
DED,Dehra Dun Airport,
DEE,Mendeleyevo Airport,
KPM,Kompiam,
YPN,Port Menier,
DEH,Municipal,
DEL,Indira Gandhi International Airport,
YPY,Fort Chipewyan Airport,
DEN,Denver International Airport,
DEO,Hyatt Regency Heliport,
DER,Derim,
DET,Detroit City,
DEZ,Al Jafrah,
DFI,Memorial,
DFW,Dallas/Fort Worth International Airport,
DGN,NAF,
DGO,Guadalupe Victoria Airport,
DGP,Daugavpils,
DGU,Dedougou,
DGW,Converse County,
DHA,King Abdulaziz AB,
DHI,Dhangarhi,
BLO,Blonduos,
DHL,Dhala,
MKB,Mekambo,
RZS,Sawan,
SAA,Shively Field,
SAG,Shirdi,
SAT,San Antonio International Airport,
SAW,Sabiha Gokcen International Airport,
BOY,Borgo,
