Abbr,Term,Country
NA-0078,Brukkaros Landing Strip,NA
NA-0079,Finger Gottes Airstrip,NA
NA-0080,Tweerivier Landing Site,NA
NA-0081,Guamus Airport,NA
NA-0082,Gibeon Airport,NA
NA-0083,Witbooisvley Landing Site,NA
NA-0084,Maltahoehe S Airport,NA
NA-0085,Katzensteg Airport,NA
NA-0086,Plum Airport,NA
NA-0087,Lendepas Landing Site,NA
NA-0088,Ongava Lodge Airstrip,NA
NA-0089,Wandervogel Airstrip,NA
NA-0090,Kouwater Landing Site,NA
NA-0091,Salzbrunn Airstrip,NA
NA-0092,Gianti-1 Airport,NA
NA-0093,Kub Landing Site,NA
NA-0094,Twilight Airstrip,NA
NA-0095,Bullsport Landig Site,NA
NA-0096,Morester Landing Site,NA
NA-0097,Lidfontein Landing Site,NA
NA-0098,Orutjandja Airport,NA
NA-0099,Nabus Landing Site,NA
NA-0100,Runnersrest Landing Site,NA
NA-0101,Victory Airstrip,NA
NA-0102,Rietoog Airport,NA
NA-0103,Hoachanas Airport,NA
NA-0104,Droeplaas Landing Site,NA
NA-0105,Tsumis Airport,NA
NA-0106,Bimsfarm Landing Site,NA
NA-0107,Olifantwater West Landing Site,NA
NA-0108,Gomnab Airport,NA
NA-0109,Neuloore Landing Site,NA
NA-0110,Nauchas Landing Site,NA
NA-0111,Kaukerus Landing Site,NA
NA-0112,Cowdray Airstrip,NA
NA-0113,Rheinpfalz Landing Site,NA
NA-0114,Leonardville Airport,NA
NA-0115,Beenbreek Landing Site,NA
NA-0116,Gamsberg Landing Site,NA
NA-0117,Gams Farm Landing Site,NA
NA-0118,Rehoboth Town Airport,NA
NA-0119,Klein Nauas Landing Site,NA
NA-0120,Rehoboth Airstrip,NA
NA-0121,Rehoboth Sta Airport,NA
NA-0122,Rooisand Airport,NA
NA-0123,Goellschau Farm Landing Site,NA
NA-0124,Louwater S M7 Airport,NA
NA-0125,Garib Landing Site,NA
NA-0126,Nossob Gabel Landing Site,NA
NA-0127,Doornpoort Airstrip,NA
NA-0128,Oamites Landing Strip,NA
NA-0129,Bergland Landing  Strip,NA
NA-0130,Krumneck Airport,NA
NA-0131,Keitzaub Landing Site,NA
NA-0132,Spatzenfeld Landing Site,NA
NA-0133,Aris Landrig Strip,NA
NA-0134,Okapanje Airport,NA
NA-0135,Gobabis Street-T Airport,NA
NA-0136,Ninette Landing Site,NA
NA-0137,Solingen Airstrip,NA
NA-0138,Eintracht Airstrip,NA
NA-0139,Otjihaenena Landing Strip,NA
NA-0140,Sandfontein Airstrip,NA
NA-0141,Buitepos Airstrip,NA
NA-0142,Drimiopsis Landing Site,NA
NA-0143,Swa Knie Landing Site,NA
NA-0144,Wilskrag Landing Site,NA
NA-0145,Albrechts Aistrip,NA
NA-0146,Okahennesiva Landing Site,NA
NA-0147,Steinhausen Landing Site,NA
NA-0148,Fortuna Landing Site,NA
NA-0149,Okamapu Landing Site,NA
NA-0150,Epukiro North Landing Site,NA
NA-0151,Epukiru Airport,NA
NA-0152,Onduruqea Lodge Airport,NA
NA-0153,Hochfeld Airport,NA
NA-0154,Godehoop Landing Site,NA
NA-0155,Rhenoster K Airport,NA
NA-0156,Omaha Landing Site,NA
NA-0157,Otjiwarongo Center Airport,NA
NA-0158,Isibis Airstrip,NA
NA-0159,Khorixas Airport,NA
NA-0160,Okongwati Airport,NA
NA-0161,Okongo Airport,NA
NA-0162,Kongola Airport,NA
NA-0163,Susuwe Airport,NA
NA-0164,Sikereti Airport,NA
NA-0165,Otjituuo Airport,NA
NA-0166,Okakarara Airport,NA
NA-0167,B8 Airstrip,NA
NA-0168,Palmwag Airport,NA
NA-0169,Ehomba Airport,NA
NA-0170,Uukwaluudhi Airport,NA
NA-0171,Outapi Airport,NA
NA-0172,Haklesdoorn Airport,NA
NA-0173,Ndonga Linena Airstrip,NA
NA-0174,Farm Etemba Landing Strip,NA
NA-0175,Farm Dawib Ost Landing Strip,NA
NA-0176,Farm Gurus Landing Strip,NA
NA-0177,Desert Rhino Camp Airstrip,NA
NA-0178,Namushasha River Lodge Airport,NA
NA-0179,Skuit Drift Airport,NA
NA01,Jenson Airport,US
NA02,Saure Airport,US
NA03,Boll Brothers Airstrip,US
NA05,Kraig Farms Airport,US
NA06,Bouret Ranch Airport,US
NA07,Kornkven Airstrip,US
NA10,Anderson Private Airport,US
NA12,Johnson Private Airport,US
NA13,Linrud Airstrip,US
NA17,Jacob Gust Airport,US
NA18,Hought Airstrip,US
NA20,Hudson's Strip,US
NA21,Thompson Private Airport,US
NA22,Vernon Miller Private Airport,US
NA25,Holen Aerial Spray Airstrip,US
NA30,Behrens Airstrip,US
NA32,Johnson Airstrip,US
NA33,Ripplinger Strip,US
NA38,Sabbe Brothers Landing Strip,US
NA39,Dorbrinski Airport,US
NA44,Georgeson Farm Strip,US
NA49,Paul Airstrip,US
NA54,Moser Airstrip,US
NA55,Hager Strip,US
NA56,Moffet Airstrip,US
NA60,Dakota Airport,US
NA61,Tachenko Strip,US
NA63,Storseth Airstrip,US
NA65,Anderson Strip,US
NA67,Horsley Airstrip,US
NA70,Smith Airstrip,US
NA71,M. Bodvig Airstrip,US
NA73,Welstad Farms Airstrip,US
NA75,Lill Strip,US
NA77,Mc Gee Strip,US
NA79,Philbrick Private Airstrip,US
NA81,Central Valley Aviation Airport,US
NA84,L. Seckerson Airstrip,US
NA86,Johnson Private Airstrip,US
NA88,Regan Airstrip,US
NA89,Holzman Airstrip,US
NA90,Circle Z Landing Strip,US
NA92,Overland-Lohse Field,US
NA98,Dilse Private Airstrip,US
NA99,Bakko Airstrip,US
NBS,Changbaishan Airport,CN
NBV,Coastal Systems Station Heliport,US
NC-0001,Île Hugon Airstrip,NC
NC-0002,Nakutakoin Ultralight Airport,NC
NC-0003,Médipôle de Koutio - Gaston-Bourret Territorial Central Hospital Heliport,NC
NC-0004,Méridien Heliport,NC
NC-0005,Ouinne Private Airport,NC
NC-0006,Canala Airport,NC
NC00,Moretz Riverside Landing Airport,US
NC01,Harvey Point Defense Testing Activity Airport,US
NC02,Boomerang Airport,US
NC03,Darr Field,US
NC04,Watauga County Hospital Heliport,US
NC05,Bradford Field Airport,US
NC06,Elk River Airport,US
NC07,"Charles A. Cannon, Jr Memorial Hospital Heliport",US
NC08,Tusquittee Landing Airport,US
NC09,Stoneriver Airport,US
NC10,Nocarva Airport,US
NC11,Deck Airpark,US
NC12,Lee Creek Airport,US
NC13,Yorks Field,US
NC14,Boone Inc Airport,US
NC15,Raeford Rhyne Airpark,US
NC16,Brevard Airport,US
NC17,Wolf's Den Airport,US
NC18,Brickhouse Field,US
NC19,Propst Airport,US
NC20,Canaan Air Base,US
NC21,Aero Plantation Airport,US
NC22,Charles Field,US
NC23,Johnston Memorial Hospital Heliport,US
NC24,Delta Air Base,US
NC25,Gold Hill Airport,US
NC26,Long Island Airpark,US
NC27,Lower Creek Airport,US
NC28,Meadstown Airstrip,US
NC29,Bradley Field,US
NC30,Miller Air Park,US
NC31,Quiet Acres Airport,US
NC32,Rivercliff Airport,US
NC33,Mission Hospital McDowell Heliport,US
NC34,Miles Airport,US
NC35,Spencer Airport,US
NC36,Benton's Airfield,US
NC37,Mountain View Aerodrome,US
NC38,Propst Heliport,US
NC39,Enochville Airport,US
NC40,Holeman Field,US
NC41,Hendrick Motorsports Heliport,US
NC42,Piney Ridge Airport,US
NC43,Bear Pen Airport,US
NC44,Barclaysville Field,US
NC45,Enfield-Shearin Airport,US
NC46,Salisbury VA Medical Center Heliport,US
NC47,South Oaks Aerodrome,US
NC48,Safe Field,US
NC49,Boyd Field,US
NC50,Skyland Airport,US
NC51,Halifax Regional Medical Center Heliport,US
NC52,Silver Creek Airport,US
NC53,Tusquitee Heliport,US
NC54,Jackson Private Airport,US
NC55,Carowinds Heliport,US
NC56,Deer Run Airport,US
NC57,Craven Regional Medical Center Heliport,US
NC58,Gryder-Teague Airport,US
NC59,Alexander County Airport,US
NC60,Atrium Health Cabarrus Heliport,US
NC61,Blackwater Airstrip,US
NC62,Birds Nest Heliport,US
NC63,Robertson Field,US
NC64,Barringer Field,US
NC65,Yonder Airport,US
NC66,Ventosa Plantation Airport,US
NC67,Six Oaks Airport,US
NC68,Jarrett Heliport,US
NC69,Twin Oak Airport,US
NC7,Donald's Air Park Inc. Airport,US
NC70,McKee Airport,US
NC71,E T Field,US
NC72,Hinton Field,US
NC73,Hodges Farm Airport,US
NC74,Randolph Health Heliport,US
NC75,Schneider Haven Airstrip,US
NC76,Massengill Airport,US
NC77,Chalfant Airport,US
NC78,Turbeville Airport,US
NC79,Bear Creek Airport,US
NC80,Morehead City State Port Terminal Heliport,US
NC81,Cox Airport,US
NC82,Dublin Field,US
NC83,Cape Fear Valley Medical Center Heliport,US
NC84,West Wind Heliport,US
NC85,Sampson Regional Medical Center Heliport,US
NC86,Rocking A Farm Airport,US
NC87,Dogwood Farm Airport,US
NC88,Outer Banks Heliport,US
NC89,Pungo District Hospital Heliport,US
NC90,WBTV Heliport,US
NC91,ECU Health Medical Center Heliport,US
NC92,Duke University North Heliport,US
NC93,South River Airport,US
NC94,Bladen County Hospital Heliport,US
NC95,Mission Hospitals Heliport,US
NC96,Betsy Johnson Memorial Hospital Heliport,US
NC97,Dirt Dobber's Grass Strip,US
NC98,Sentara Albemarle Regional Medical Center Heliport,US
NC99,Bagwell Airport,US
NCAI,Aitutaki Airport,CK
NCAT,Enua Airport,CK
NCL,Comlantflt Heliport,US
NCMG,Mangaia Island Airport,CK
NCMH,Manihiki Island Airport,CK
NCMK,Mauke Airport,CK
NCMN,Manuae Airport,CK
NCMR,Mitiaro Island Airport,CK
NCPK,Pukapuka Island Airport,CK
NCPY,Tongareva Airport,CK
NCRG,Rarotonga International Airport,CK
NCY,Naval Wepons Station Helipad,US
ND01,Nelson Airport,US
ND02,Ricketyback Field,US
ND05,MCHS Hospital Heliport,US
ND07,Punton Private Airport,US
ND08,Gator Seaplane Base,US
ND09,Bryn Airport,US
ND10,Flying-N-Ranch Airport,US
ND11,R J Bohn Armory Heliport,US
ND12,Snyders Airport,US
ND14,Fordville Airport,US
ND16,Frei Private Airport,US
ND18,Judy Strip,US
ND19,Stokka Airport,US
ND20,Gensrich Airport,US
ND21,Standing Rock Hospital Heliport,US
ND22,Fischer Private Airport,US
ND23,Sanford Fargo Medical Center Heliport,US
ND24,Inkster Airport,US
ND25,Prop Wash Field,US
ND26,Gajewski Field,US
ND27,St Aloisius Medical Center Heliport,US
ND28,Towner County Medical Center Heliport,US
ND29,Swenson Airport,US
ND30,Sanford Health-Bismark Heliport,US
ND32,Kalainov Private Airport,US
ND33,Dawson Mediport Heliport,US
ND34,Moen Airport,US
ND35,Lindemann Airport,US
ND36,Don's Airport,US
ND38,Rices Airpark,US
ND40,Rau Field,US
ND41,Voller Airport,US
ND42,Warren Pietsch Airport,US
ND43,Flying S Ranch Airport,US
ND44,Underwood Airport,US
ND45,Essentia Health Fargo Heliport,US
ND46,St Alexius Med-I-Port Heliport,US
ND47,Geske Airfield,US
ND48,St. Luke's Hospital Heliport,US
ND49,Krause Private Airport,US
ND50,Sakakawea Medical Center Heliport,US
ND52,True North Airpark,US
ND53,Pueppke Airport,US
ND54,Whitman Field,US
ND55,Sperr Airport,US
ND59,Grieve Airport,US
ND60,Frokjer Airport,US
ND62,Brands Airport,US
ND65,Letzring Airport,US
ND68,Vining Airport,US
ND72,Lonetree Airstrip,US
ND73,Peterson Airport,US
ND74,Smith Private Airport,US
ND75,Pete's Tractor Salvage Airport,US
ND76,Turner Field,US
ND78,Wilcox Farm Airport,US
ND80,Spitzer Airport,US
ND81,Grand Forks Par Site Heliport,US
ND82,Y-Rock Airport,US
ND85,Humann Private Airstrip,US
ND86,Peterson Airport,US
ND87,Indian Hill Resort Airport,US
ND89,Mutschler Field,US
ND90,Dahl Private Airport,US
ND92,Schroeder Airport,US
ND96,Sauter Airport,US
ND98,Cloud Nine Airport,US
ND99,Ellig Field,US
NDI,Namudi Airport,PG
NDN,Nadunumu Airport,PG
NE-0001,Niger Air Base 201,NE
NE-0002,Kourou Arkenné Airfield,NE
NE-0003,Madama Military Base,NE
NE-0004,Fachi Airport,NE
NE01,Schutte Airport,US
NE02,Pender Community Hospital Heliport,US
NE03,Cherry County Hospital Heliport,US
NE04,Ely Airport,US
NE05,Cherry Heliport,US
NE06,Woolf Brothers Airport,US
NE08,Larrabee Farm Airport,US
NE09,Simpson Airport,US
NE10,Flying C Heliport,US
NE11,Sky Ranch Airport,US
NE12,Sullivan Airstrip,US
NE14,Ogallala Community Hospital Heliport,US
NE15,Starns Auxiliary Airport,US
NE16,Gothenburg Memorial Hospital Heliport,US
NE17,Walts Aerial Service Airport,US
NE18,Krutz Airport,US
NE19,Ag Air Airport,US
NE20,Bernadt Airport,US
NE21,Clyde Airfield,US
NE22,Great Plains Regional Medical Center Heliport,US
NE24,Polaks Sky Ranch Airport,US
NE25,Orr Field,US
NE26,Treadway Air Airport,US
NE27,Abie Sky Ranch Airport,US
NE28,Jubilee Heliport,US
NE29,Cavanaugh Airport,US
NE30,Olson Field,US
NE31,B.C. Air Airport,US
NE32,Box Butte General Hospital Med-I-Port Heliport,US
NE33,Clearidge Airport,US
NE34,Fehringer Aerodrome,US
NE35,Sutton Airport,US
NE37,Loseke Airstrip,US
NE38,Aknux Airport,US
NE39,Warbonnet Ag Strip,US
NE40,Denton Airfield,US
NE41,Rgnl West Medical Center Heliport,US
NE42,Dream Field,US
NE43,Musiel Airport,US
NE44,Koinzan Airport,US
NE45,Stewart Field,US
NE46,Gemini Heliport,US
NE48,Childrens Hospital & Medical Center Helipad,US
NE49,Koke Airport,US
NE50,Sudbeck Field,US
NE51,Kohles Airport,US
NE52,Easton Field,US
NE53,Liesveld Airport,US
NE54,Dostal-Bradley Airport,US
NE55,Humboldt Hospital Heliport,US
NE56,Werner Airport,US
NE57,Thomas Airport,US
NE59,Pester Airport,US
NE60,St Elizabeth Community Health Center Heliport,US
NE62,Ochsner Heliport,US
NE64,Luetkenhaus Airport,US
NE65,Roth Airport,US
NE67,Falk Air Field,US
NE68,Faith Regional Health Services West Campus Heliport,US
NE69,Browns Airport,US
NE71,Immanuel Medical Center Heliport,US
NE73,Stinking Water Creek Airport,US
NE75,Kristijanto Airstrip,US
NE76,St Francis Medical Center Heliport,US
NE77,Kearney Regional Medical Center Heliport,US
NE78,Kohles Airport,US
NE79,Mueller Field,US
NE80,Chambers Airfield,US
NE81,Huffy's Airport,US
NE82,Nolte Farms Airport,US
NE83,Moab Heliport,US
NE84,Memorial Hospital Heliport,US
NE85,Glaser Airport,US
NE86,Traudt Airport,US
NE87,Rempe Private Airport,US
NE88,Novotny/Tonar Farms Airport,US
NE89,Herberts Farm Airport,US
NE90,Mary Lanning Memorial Hospital Heliport,US
NE92,Thomsen Airport,US
NE94,Feik Field Ultralight Flightpark,US
NE95,Frenchman Airport,US
NE99,Hawkins Ranch Airport,US
NFBG,Biaugunu Airport,FJ
NFCI,Cicia Airport,FJ
NFCS,Castaway Island Seaplane Base,FJ
NFFA,Ba Airport,FJ
NFFN,Nadi International Airport,FJ
NFFO,Malolo Lailai Island Airport,FJ
NFFR,Rabi Island Airport,FJ
NFGO,Mago Island Airstrip,FJ
NFKB,Kaibu Island Airport,FJ
NFKD,Vunisea Airport,FJ
NFMA,Mana Island Airport,FJ
NFMO,Moala Airport,FJ
NFNA,Nausori International Airport,FJ
NFNB,Levuka Airfield,FJ
NFNG,Ngau Airport,FJ
NFNH,Laucala Island Airport,FJ
NFNK,Lakeba Island Airport,FJ
NFNL,Labasa Airport,FJ
NFNM,Matei Airport,FJ
NFNO,Koro Island Airport,FJ
NFNR,Rotuma Airport,FJ
NFNS,Savusavu Airport,FJ
NFNU,Bui-Dama Airport,FJ
NFNV,Vatukoula Airport,FJ
NFNW,Wakaya Island Airport,FJ
NFOL,Ono-i-Lau Airport,FJ
NFRS,Treasure Island Seaplane Base,FJ
NFSW,Yasawa Island Airport,FJ
NFTE,Kaufana Airport,TO
NFTF,Fua'amotu International Airport,TO
NFTL,Lifuka Island Airport,TO
NFTO,Mata'aho Airport,TO
NFTP,Kuini Lavenia Airport,TO
NFTV,Vava'u International Airport,TO
NFUL,Turtle Island Seaplane Base,FJ
NFVB,Vanua Balavu Airport,FJ
NFVL,Vatulele Airport,FJ
NG-0001,Agbara-Otor Airport,NG
NG-0002,Kainji Air Base,NG
NG-0003,Gombe Lawanti International Airport,NG
NG-0004,Port Harcourt City Airport / Port Harcourt Air Force Base,NG
NG-0005,Srr Ahmadu Bello International Airport,NG
NG-0006,Okpoma Airport,NG
NG-0007,Lokoja Airstrip,NG
NG-0008,Suntai Airstrip,NG
NG-0009,Nigeria LNG Helipad,NG
NG-0010,Mazi Alex Otti Heliport,NG
NG-0011,Shell Industrial Area Heliport,NG
NG-0012,Agip Heliport,NG
NG-0013,Exxon Mobil Aba Road Estate Heliport,NG
NG-0014,Daura Heliport,NG
NG-0015,Olusegun Obasanjo Presidential Library Abeokuta Helipad,NG
NG-0016,June 12 Cultural Centre Abeokuta Helipad,NG
NG-0018,Otuoke Heliport,NG
NG-0019,Yenagoa Heliport,NG
NG-0020,Aso Rock Heliport,NG
NG-0021,Maryland Heliport,NG
NG-0022,Moshood Abiola National Stadium Helipad,NG
NG-0023,AMSH Helipad,NG
NG-0024,Bacita Airstrip,NG
NG-0025,Forçados Terminal Heliport,NG
NG-BCU,Bauchi Airport,NG
NG-QRW,Warri Airport,NG
NGAB,Abaiang Airport,KI
NGBR,Beru Airport,KI
NGFU,Funafuti International Airport,TV
NGKT,Kuria Airport,KI
NGMA,Maiana Airport,KI
NGMK,Marakei Airport,KI
NGMN,Makin Island Airport,KI
NGNU,Nikunau Airport,KI
NGON,Onotoa Airport,KI
NGR,Ningerum Airstrip,PG
NGTA,Bonriki International Airport,KI
NGTB,Abemama Airport,KI
NGTE,Tabiteuea North Airport,KI
NGTM,Tamana Island Airport,KI
NGTO,Nonouti Airport,KI
NGTR,Arorae Island Airport,KI
NGTS,Tabiteuea South Airport,KI
NGTU,Butaritari Airport,KI
NGUK,Aranuka Airport,KI
NH01,Bellamy River Seaplane Base,US
NH02,Puzzo-Lakewood Heliport,US
NH03,Granite Heliport,US
NH04,Ciardelli Field Heliport,US
NH05,Seacoast Helicopters West Heliport,US
NH06,Dynasty Farms Heliport,US
NH07,Cooper Farm Airport,US
NH08,Marbina Woods Heliport,US
NH09,Seabrook Station Heliport,US
NH10,Springfield Cove Heliport,US
NH11,Swain Hill Heliport,US
NH12,Evans Seaplane Base,US
NH13,Concord Hospital Heliport,US
NH14,Parker International Heliport,US
NH15,Locke Lake Airport,US
NH16,Brookline Airport,US
NH17,Zim Airport,US
NH18,Chickville Airport,US
NH19,Air-Wood Heliport,US
NH20,Ward Field,US
NH21,Abbott Heliport,US
NH22,Lancaster Heliport,US
NH23,Cottage Hospital Heliport,US
NH24,Prescott Hill Heliport,US
NH25,Flying H Skyport Airport,US
NH26,Dragonwings Heliport,US
NH27,Huggins Hospital Heliport,US
NH28,Hillsboro Ford Heliport,US
NH29,Hollander's Heliport,US
NH30,Avery Point Airport,US
NH31,Mountain View Field,US
NH32,Bentley Heliport,US
NH33,Brigham Heliport,US
NH34,Wharf Heliport,US
NH35,Liberty Lane Heliport,US
NH36,Weeks Medical Center Heliport,US
NH37,Southern Nh Medical Center Heliport,US
NH38,Leavitt Airport,US
NH39,Frank D. Comerford Airport,US
NH40,Eagles Nest Airport,US
NH41,Merrimack Heliport,US
NH42,C.S.S. Heliport,US
NH43,Murphy-Sherwood Park Airport,US
NH44,Dean Kamen Heliport,US
NH45,Foss Heliport,US
NH46,Austin's Landing Heliport,US
NH47,Monadnock Community Hospital Heliport,US
NH48,Springfield Point Heliport,US
NH49,Bradley Field,US
NH50,Gordon Brown Heliport,US
NH51,Wickson Heliport,US
NH52,Waste Heliport,US
NH53,Norden Systems Heliport,US
NH54,Parkland Medical Center Heliport,US
NH55,Chopper One Heliport,US
NH56,Wentworth-Douglass Heliport,US
NH57,Exeter Hospital Heliport,US
NH58,D.W. Heliport,US
NH59,Speedway Heliport,US
NH60,Huff Memorial Airport,US
NH61,Heaton Airport,US
NH62,Millipore Heliport,US
NH63,Weston Street Heliport,US
NH64,Pow-Wow Seaplane Base,US
NH65,Dean Kamen Ii Heliport,US
NH66,Temple Heliport,US
NH67,Winterwood Airport,US
NH68,Merrymeeting Lake Seaplane Base,US
NH69,Windsock Village Airport,US
NH70,Forbes Heliport,US
NH71,Loons Nest Seaplane Base,US
NH73,Meader's Heliport,US
NH74,Crowley Heliport,US
NH75,Psnh Heliport,US
NH76,Mason Airfield,US
NH77,Smiling Jack Heliport,US
NH78,Steck Farm Airport,US
NH79,Falcon Station Heliport,US
NH80,Shanklin Heliport,US
NH81,Franklin Regional Hospital Heliport,US
NH82,Dartmouth Hitchcock Medical Center Heliport,US
NH83,Chiefs Hut Heliport,US
NH84,Northwood Airport,US
NH85,Sutton Heliport,US
NH86,Intervale Airport,US
NH87,Blue Light Heliport,US
NH88,Country Club Air Park,US
NH91,Cheney Heliport,US
NH92,Littleton Hospital Heliport,US
NH93,Sean Heliport,US
NH94,Spring Creek Heliport,US
NH96,Wentworth Aerodrome Airport,US
NH98,Brady-Candia Heliport,US
NH99,New London Hospital Heliport,US
NI-0001,Santa Elena Airport,NI
NI-0002,Malacataya Airport,NI
NI-0003,Aeroservicios ALA Airport,NI
NI-0004,Las Lajas Airport,NI
NI-0005,El Coyol Airport,NI
NI-0006,La Esperanza Airport,NI
NI-0007,Tierra Dorada Airport,NI
NI-0008,Las Parcelas Airport,NI
NI-0009,Las Chacaras Airport,NI
NI-0010,La Cicaya Airport,NI
NIK,Niokolo-Koba Airport,SN
NIN,Ninilchik Airport,US
NIUE,Niue International Airport,NU
NJ00,Ridgefield Park Seaplane Base,US
NJ01,Campbell's Soup Heliport,US
NJ02,Alloway Airfield,US
NJ03,S and C Echelon Heliport,US
NJ04,At&T Cedarbrook Heliport,US
NJ05,Jersey Shore Medical Center Heliport,US
NJ06,B J Farms Airport,US
NJ07,Newport Meadows Seaplane Base,US
NJ08,Stone Harbor Golf Club Heliport,US
NJ09,Matthews Airport,US
NJ10,Dayton Heliport,US
NJ11,Mc Donoughs Heliport,US
NJ12,New Jersey State Police Bloomfield Heliport,US
NJ13,Newbold Island Heliport,US
NJ14,Logan Plant Heliport,US
NJ15,Burlington Generating Station Heliport,US
NJ16,Sliker Strip,US
NJ17,Cooper University Hospital Kelemen Heliport,US
NJ18,Our Lady of Lourdes Hospital Heliport,US
NJ19,Deborah Heart & Lung Center Heliport,US
NJ20,Coyle Field,US
NJ21,Cherry Hill Inn Heliport,US
NJ22,Hackensack Medical Center Heliport,US
NJ23,Colgate Palmolive Heliport,US
NJ24,Warren Grove Range Airport,US
NJ25,Peaslees Airstrip,US
NJ26,Hoffmann-La Roche Inc Heliport,US
NJ27,Wrnj Heliport,US
NJ28,Nws Earle Heliport,US
NJ29,South County Heliport,US
NJ30,Paruszewski Farm Strip,US
NJ31,Arneytown Veteran's Cemetary Heliport,US
NJ32,Deepwater Station Heliport,US
NJ33,Darst Heliport,US
NJ34,P & A Deptford Heliport,US
NJ35,Chem-Fleur Helistop,US
NJ36,Soverel Park Heliport,US
NJ37,Elmwood Park Heliport,US
NJ38,Martens Stadium Heliport,US
NJ39,Oval Park Heliport,US
NJ40,Hovtown Heliport,US
NJ41,Hudson Farm West Heliport,US
NJ42,Mosquito Commission Headquarters Heliport,US
NJ43,Frigidaire Company Heliport,US
NJ44,Liberty Hall Heliport,US
NJ45,City of Bridgeton Heliport,US
NJ46,Mar Bar L Farms Airport,US
NJ47,Teeny Weeny Acres Airport,US
NJ48,Golden Nugget Atlantic City Heliport,US
NJ49,Bradford Field,US
NJ50,The Landing Airport,US
NJ51,Florham Park Heliport,US
NJ52,Folsom Airport,US
NJ53,NJ Hwy Auth-Admin Bldg Helispot,US
NJ54,George Washington Bridge Heliport,US
NJ55,Greely Helipad Heliport,US
NJ56,Charles Wood Helipad Heliport,US
NJ57,Steeplechase Pier Heliport,US
NJ58,Nordheim Flying K Airpark,US
NJ59,Ekdahl Airport,US
NJ60,Cuddihy Landing Strip,US
NJ61,Malone Airport,US
NJ62,Lz 1 Nldc Heliport,US
NJ63,Eagles Lair Airport,US
NJ64,Reeder Airport,US
NJ65,John E. Rogers Airport,US
NJ66,Hackettstown Community Hospital Heliport,US
NJ67,Caputo Helistop,US
NJ68,Getty Avenue Lot Heliport,US
NJ69,Ideal Mfg Corp Airport,US
NJ70,Northwest Gas Division Elizabethtown Gas Heliport,US
NJ71,Holmansville Heliport,US
NJ72,Hop Brook Farm Airport,US
NJ73,State Police Holmdel Helispot Heliport,US
NJ74,Salem Airfield,US
NJ75,Werner Private Airport,US
NJ76,Hq 78th Division Heliport,US
NJ77,Warren County Public Safety Department,US
NJ78,Kearny Helistop,US
NJ79,Goat Hill Airport,US
NJ80,Seton Hall Heliport,US
NJ81,Free Spirit Airport,US
NJ82,Bayway Refinery Heliport,US
NJ83,American Cyanamid Linden Heliport,US
NJ84,Hidden Acres Farm Airport,US
NJ85,Atrium At Somerset Heliport,US
NJ86,Pacemaker Heliport,US
NJ87,University Hospital Rooftop Heliport,US
NJ88,Tgp-325 Heliport,US
NJ89,Southern Ocean Medical Center Heliport,US
NJ90,Iff R & D Heliport,US
NJ91,National Starch and Chemical County Heliport,US
NJ92,St Benedict's Heliport,US
NJ93,Alexanders-Menlo Park Heliport,US
NJ94,C and T Helistop,US
NJ95,Herr Brothers Airport,US
NJ96,Als Landing Strip,US
NJ97,New Jersey Turnpike Authority Heliport,US
NJ98,Zitone Airport,US
NJ99,Vonage Heliport,US
NJJ,Nenjiang Melgen Airport,CN
NK0,Maus Marineland Seaplane Base,US
NK01,Countryman's Landing Strip,US
NK04,Shepard Airport,US
NK05,Tom N' Jerry Airport,US
NK06,S.O.P. Airport,US
NK07,Big Island Airport,US
NK08,Sheeley's Farm Airport,US
NK09,Eagle Ridge Airport,US
NK10,D C Helicopters Heliport,US
NK11,Troop B. Headquarters Heliport,US
NK12,Donnelly Airport,US
NK13,Snyder's Lake Seaplane Base,US
NK14,Little Falls Ems Heliport,US
NK15,Seventh Lake Seaplane Base,US
NK16,Hendricks Field,US
NK17,August Field,US
NK18,Peconic Bay Medical Center Heliport,US
NK19,Potoczak Airport,US
NK22,One Ten Heliport,US
NK23,Tetz Landing Heliport,US
NK24,Tilden Airport,US
NK25,Cambria Airport,US
NK26,Old Forge Airport,US
NK27,Hedge Hop Field,US
NK28,Tgp-254 Heliport,US
NK29,Southampton Village Heliport,US
NK30,Private Sealanes-Jamaica Bay Seaplane Base,US
NK31,Dawn Patrol Aviation Airport,US
NK32,New York ARNG Heliport,US
NK33,Ny State Police - Troop T Heliport,US
NK34,St Luke's Memorial Hospital Heliport,US
NK37,Winthrop University Hospital Heliport,US
NK38,Parker's Landing Heliport,US
NK39,One Police Plaza Heliport,US
NK40,Regeneron Campus Heliport,US
NK41,Mather Heliport,US
NK42,St John's Episcopal Hospital Heliport,US
NK43,Jerry Phibbs Airport,US
NK44,Bethlehem Energy Center Heliport,US
NK45,St Charles Hospital Heliport,US
NK47,Dalrymples Airport,US
NK48,Eastern Long Island Heliport,US
NK49,IBM Owego Heliport,US
NK50,St Mary's Hospital Elevated Heliport,US
NK52,Connelly Field,US
NK53,Dodge/Coppola/Wheeler Airport,US
NK54,Matejka Field,US
NK55,Onondaga County Sheriff's Department Heliport,US
NK56,IBM Fishkill Plant Number 2 Heliport,US
NK57,Ross Heliport,US
NK58,Gibraltar Heliport,US
NK59,Copake Lake Seaplane Base,US
NK60,Bostrup's Landing Seaplane Base,US
NK61,General Electric R&D Center Heliport,US
