TERM,MEANING
EAM,enterprise asset management
EAP,employee assistance program
EAP,Extensible Authentication Protocol
EB,exabyte
EBCDIC,Extended Binary Coded Decimal Interchange Code
EBIF,Enhanced TV Binary Interchange Format
EBITDA,"earnings before interest, taxes, depreciation, and amortization"
EBPP,electronic bill presentment and payment
EBR,Electronic Batch Record
ebXML,electronic business xml
EBXML,Electronic Business XML
EC,Electronic Commerce
EC,enterprise collaboration
ECASS,silence machine or Electronic Controlled Acoustic Shadow System
ECB,Electronic Code Book
ECC,Elliptic Curve Cryptography
ECC,Error Correction Code
ECCS,European Cloud Computing Strategy
ECDL,European Computer Driving License
ECM,Engineering Change Management
ECM,enterprise content management
ECMAScript,European Computer Manufacturers Association Script
ECN,Electronic Change Notice
ECO,Engineering (or Electronic) Change Order
ECOphlex,PHase-change Liquid EXchange
ECPA,Electronic Communications Privacy Act
ECR,Efficient Consumer Response
ECRC,Electronic Commerce Resource Center
EDA,Electronic Document Access
EDA,event-driven architecture
EDE,electronic disposal efficiency
EDGAR,"Electronic Data Gathering, Analysis and Retrieval"
EDGE,Enhanced Data GSM Environment
EDI,Electronic Data Interchange
EDIFACT,"Electronic Data Interchange for Administration, Commerce and Transport"
EDL,enhanced driver's license
EDM,Electrical Discharge Machine or Machining
EDM,Electronic Document Management
EDM,enterprise document management
EDMS,Engineering Document Management Systems
EDP,electronic data processing
EDR,enterprise data replication
EDRAM,enhanced dynamic random access memory
EDRM,electronic discovery reference model
EEF,Encyclopedia of Ethical Failure
EEOC,Equal Employment Opportunity Commission
EEPROM,electrically erasable programmable read-only memory
EES,Engineering Execution Systems
EES,Escrowed Encryption Standard
EF,sensing electric field sensing
EFF,Electronic Frontier Foundation
EFI,Electronic Freight Invoice
EFS,Encrypting File System
EFT,Electronic Funds Transfer
EGP,Exterior Gateway Protocol
EHR,electronic health record
EI,emotional intelligence
EIA,Electronic Industries Association or Electronics Industries Alliance
EIC,Earned Income Credit
eICU,electronic intensive care unit
EIDE,Enhanced Integrated Drive Electronics
EIGRP,Enhanced Interior Gateway Routing Protocol
EIM,Enterprise Identity Mapping
EIM,enterprise information management
eInk,E Ink
EIP,enterprise information portal
EIS,Executive Information System
EISA,Extended Industry Standard Architecture
EJB,Enterprise JavaBeans
ELED,entangled light-emitting diode
ELF,extremely low frequency
ELM,event log manager 
ELMS,Event log management software
ELT,"Extract, Load, Transform"
ELV,End of Life Vehicle
EMAS,Eco-Management and Audit Scheme
EMC,Exchange Management Console
EMCCA,EMC cloud architect certification
EME,moonbounce or Earth-Moon-Earth
EMET,Microsoft Enhanced Mitigation Experience Toolkit
EMF,Enhanced MetaFile
EMI,Early Manufacturing Involvement
EMI,electromagnetic interference
eMLC,enterprise MLC
EMM,enterprise mobility management
EMP,electromagnetic pulse
EMR,electronic medical record
EMS,Effective Management Systems
EMS,Enhanced Messaging Service
EMS,Microsoft Exchange Management Shell
ENISA,European Network and Information Security Agency
EOF,End of File
EoIP,Electricity over IP
EOL,"End of Life, End of Line"
EOM,End of Message
EOP,Microsoft Exchange Online Protection
EOQ,Economic Order Quantity
EOT,End of Transmission
EPA,Microsoft Exchange Server Profile Analyzer
EPC,Evolved Packet Core
EPD,electronic paper display
EPEAT,Electronic Product Environmental Assessment Tool
EPG,electronic program guide
ePHI,electronic protected health information
EPIC,Electronic Privacy Information Center
EPIC,Explicitly Parallel Instruction Computing
EPOD,electronic publishing on demand
EPOP,Ethernet point-of-presence
EPP/ECP,Enhanced Parallel Port/Enhanced Capability Port
EPR,endpoint reference
ERA,Electronic Remittance Advice
ERC,Engineering Reseach Center
ERD,or ER diagram entity-relationship diagram
ERM,enterprise relationship management
ERM,enterprise resource management
ERM,Environmental Resource Management
ERM,Group Environmental Resource Management
ERM,or ER model entity-relationship model
ERMS,email response management service
ERP,Enterprise Resource Planning
ERS,Evaluated Receipt Settlement
eRx,e-prescribing
ESA,Enterprise Services Architecture
ESB,enterprise service bus
ESCD,Extended System Configuration Data
ESCON,Enterprise Systems Connection
ESD,ElectroStatic Discharge
ESDI,Enhanced Small Device Interface
ESDRAM,Enhanced Synchronous DRAM
ESE,Environmentally Sustainable Electronics
ESI,electronically stored information
ESMR,Enhanced Specialized Mobile Radio
ESMTP,Extended Simple Mail Transfer Protocol
ESP,event stream processing
ESS,employee self-service
ETL,"extract, transform, load"
ETM,Enterprise Transportation Management
ETO,Engineer To Order
ETP,Enterprise Transportation Planning
ETRN,Extended Turn
ETSI,European Telecommunications Standards Institute
EUC,platform end user computing platform 
EULA,End-User License Agreement 
EUTELSAT,European Telecommunications Satellite Organization
EUVL,extreme ultraviolet lithography
EV,Electric Vehicle
EV-DO,1x Evolution-Data Optimized
EVA,Economic Value Added
EVM,Earned Value Management
EWS,Exchange Web Services
EWSD,Electronic Worldwide Switch Digital
ExBPA,Exchange Best Practices Analyzer
EXIF,Exchangeable Image File Format
ExRCA,Exchange Remote Connectivity Analyzer
EZ/EC,Empowerment Zone/Enterprise Community
FA,Flexible Automation
FACTA,Fair and Accurate Credit Transactions Act
FAR,Federal Acquisition Regulation
FARM,Field Accessible Reliability Metrics
FAS,Final Assembly Schedule
FASAB,Federal Accounting Standards Advisory Board
FAT,File Allocation Table
FAWN,fast array of wimpy nodes
FBE,Framework Based Environment
FC-AL,Fibre Channel Arbitrated Loop
FC-PGA,Flip-Chip Pin Grid Array
FCA,Flip Chip Assembly
FCAPS,"fault-management, configuration, accounting, performance, and security"
FCC,Federal Communications Commission
FCIA,Fibre Channel Industry Association
FCIP,Fibre Channel over IP
FCoE,Fibre Channel over Ethernet
FCP,Finite Capacity Planning
FCR,first call resolution
FCRA,Fair Credit Reporting Act
FCS,Finite Capacity Scheduling
FD,"Floppy Drive or File Descriptor"
FDC,Floppy Disk Controller
FDCC,Federal Desktop Core Configuration
FDD,Floppy Disk Drive
FDDI,Fiber Distributed Data Interface
FDE,full-disk encryption
FDHP,Full Duplex Handshaking Protocol
FDI,Foreign Direct Investment
FDIC,Federal Deposit Insurance Corporation
FDM,frequency-division multiplexing
FDMA,frequency division multiple access
Feat,Feature
FEC,forward error correction
FECN,forward explicit congestion notification
FED,field emission display
FedRAMP,3PAO third-party assessment organization
FedRAMP,Federal Risk and Authorization Program
FEM,Finite Elements Method
FERC,Federal Energy Regulatory Commission
FERPA,Family Educational Rights and Privacy Act of 1974
FET,field-effect transistor
FF,"Firefox (Web browser)"
FFIEC,compliance Federal Financial Institutions Examination Council
FFT,Fast Fourier Transformation
FG-D,Feature Group D
FHA,Federal Health Architecture
FHIE,Federal Health Information Exchange
FI,Fast Infoset
FICON,Fiber Connectivity
FIDO,Fast Identity Online Alliance
FIFO,"First In, First Out"
FILO,"First In, Last Out"
FIM,federated identity management
FinCEN,Financial Crimes Enforcement Network
FINRA,Financial Industry Regulatory Authority
FiOS,Fiber Optic Service
FIP,Factory Information Protocol
FIP,Fair Information Practices
FIPS,Federal Information Processing Standards
FIS,Factory Information System
FISMA,Federal Information Security Management Act 
FITCE,Federation of Telecommunications Engineers of the European Community
FLAC,Free Lossless Audio Codec
FLOPS,Floating-Point Operations Per Second
FLSA,Fair Labor Standards Act
FLSM,fixed-length subnet mask
FLT,Fermat's Last Theorem
FM,Frequency Modulation
FMAC,Flexible Mandatory Access Control
FMC,fixed-mobile convergence
FME,Feature Manipulation Engine
FMEA,Failure Mode and Effect Analysis
FMP,FileMaker
FMS,fixed-mobile substitution
FMS,Flexible Manufacturing System
FMV,Full Motion Video
FNBN,For Nerds By Nerds
FNEA,Full Name and E-mail Address
FnR,Find and replace
FNR,Format and Restore
FOAD,Fuck Off And Die
FOB,fresh out of the box
FOIA,Freedom of Information Act
FOIRL,Fiber-Optic Inter-Repeater Links
FOLED,flexible organic light emitting device
FOPE,Forefront Online Protection for Exchange
FORTRAN,The IBM Mathematical FORmula TRANslating System (a programming language)
FOSS,Free and Open-Source Software
FOV,Field Of View
FP&A,financial planning and analysis
FP,"Fat Provisioning, Finite Planning"
FP4,Floating Point 4-bit datatype
FP8,Floating Point 8-bit datatype
FP16,Floating Point 16-bit datatype
FP32,Floating Point 32-bit datatype
FP64,Floating Point 64-bit datatype
FPCA,Foreign Corrupt Practices Act
FPDS,Federal Procurement Data System
FPGA,Field-Programmable Gate Array
FPI,Federal Prison Industries
FPM,Fast Page Mode
FPM,federated presence management
FpML,Financial Products Markup Language
FPP,Full Packaged Product
FPROM,Field Programmable Read-Only Memory
FPS,First-Person Shooter
fps,Frames Per Second
FPT,Fine Pitch Technology
FPU,Floating-Point Unit
FQA,Frequently Questioned Answers
FQDN,Fully Qualified Domain Name
FR,Frame Relay
FRA,Federal Railroad Administration
FRAD,frame relay access device or frame relay assembler/dissembler
FRAM,Ferroelectric RAM
FRCP,Federal Rules of Civil Procedure
FROG,Free Roaming On Grid
FRR,fast retransmit and recovery
FRT,Future Reality Tree
FRU,Field Replaceable Units
FS,File System
FSAN,Full Services Access Network
FSB,frontside bus
FSF,Free Software Foundation
FSK,frequency-shift keying
FSML,Financial Services Markup Language
FSO,free-space optics
FSP,full-service provider
FSRM,File Server Resource Manager
FTA,Federal Transit Authority
FTAM,File Transfer Access Method
FTC,Federal Trade Commission
FTP,File Transfer Protocol
FTTC,fiber to the curb
FTTH,fiber to the home
FTTx,fiber to the x
FUD,"Fear, Uncertainty, and Doubt"
FUN,focus on user needs
FYI,for your information
G2G,Government to Government
G2C,Government to Consumer
GAAP,Generally Accepted Accounting Principles
GAAP,generally accepted accounting standards
GaAs,gallium arsenide
GaAsFET,gallium arsenide field-effect transistor
GAL,Microsoft Exchange Global Address List
GALP,Good Automated Laboratory Practices
GaN,gallium nitride
GAN,Generic Access Network
GAO,General Accounting Office
GAO,Government Accountability Office
GARP,Generic Attribute Registration Protocol
GATE,General Architecture for Text Engineering
GATS,General Agreement on Trade in Services
GATT,General Agreement on Tariffs and Trade
GB,gigabyte
GBIC,Gigabit Interface Converter
Gbps,billions of bits per second
Gbps,Gigabits per second
GCC,GNU Compiler Collection
GDDR,Graphics Double Data Rate
GDI,Graphics Device Interface
GDMO,Guidelines for Definition of Managed Objects
GDPR,General Data Protection Regulation
GEM,Generic Equipment Model
GEM,Graphics Environment Manager
GEOS,Graphical Environment Operating System
GESTALT,Grid-based Estimation of Surface Traversability Applied to Local Terrain
GFDL,GNU Free Documentation License
GFEBS,General Fund Enterprise Business System
GFS,"Global File System or Google File System"
GHz,gigahertz
GIA,Government Information Awareness
GID,group ID or global index file
GIF,Graphics Interchange Format
GIF89a,Graphics Interchange Format Version 89a
GIGO,Garbage In Garbage Out
GII,global information infrastructure
GIMP,GNU Image Manipulation Program
GIMPS,Great Internet Mersenne Prime Search
GIS,Geographic Information System
GIS,Google Image Search
GIYF,Google Is Your Friend
GKS,Graphical Kernel System
GL,general ledger
GLBA,Gramm-Leach-Bliley Act 
GLONASS,Globalnaya Navigatsionnay Sputnikovaya Sistema
GlusterFS,Gluster File System
GLUT,OpenGL Utility Toolkit
GLV,grating light valve
GMAIL,Google Mail
GML,Generalized Markup Language
GMP,Good Manufacturing Practices
GMPLS,Generalized Multiprotocol Label Switching or Multiprotocol Lambda Switching
GMROI,Gross Margin Return on Investment
GNEC,Global Network Enterprise Construct
GNOME,GNU Network Object Model Environment
GNSS,Global Navigation Satellite System
GNU,GNU's Not Unix
gOS,good operating system
GP,Group Policy
GPF,General Protection Fault
GPG,GNU Privacy Guard
GPL,GNU General Public License
GPMP,General Purpose Macro Processor
GPO,Group Policy Object
GPRS,General Packet Radio Services
GPS,Global Positioning System
GPT,"GUID Partition Table or Generative Pretrained Transformer"
GPU,Graphics Processing Unit
GRC,"governance, risk management and compliance"
GRE,Generic Routing Encapsulation
GRUB,GRand Unified Bootloader
GSM,Global System for Mobile communication
GSM,Microsoft System Center Global Service Monitor
GTA,Grand Theft Auto (a computer game)
GTAG,Global Tag
gTLD,generic top-level domain name
GTM,strategy go-to-market strategy
GUA,graphical password or graphical user authentication 
GUI,Graphical User Interface
GUID,Globally Unique Identifier (see also UUID)
GUM,Global Update Manager
GWAC,governmentwide acquisition contract
GXA,Global XML Web Services Architecture
GXF,General Exchange Format
GXL,Graph eXchange Language
Gy,gray
HA,high availability
HaaS,Hardware as a Service
HAL,hardware abstraction layer
HALO,High Altitude Long Operation
HAMR,Heat-Assisted Magnetic Recording
HASA,Highly Accelerated Stress Audit
HAVA,Help America Vote Act of 2002
HAVi,Home Audio Visual
HBA,host bus adapter
HBCI,Home Banking Computer Interface
HCCA,Health Care Compliance Association
HCI,human-computer interaction
HCI,Human-Computer Interaction/Interface
HCM,human capital management
HD-DVD,high-density DVD
HD-ROM,High-Density - Read Only Memory
HDCD,High Definition Compatible Digital
HDCP,High-bandwidth Digital Content Protection
HDD,hard disk drive
HDFS,Hadoop Distributed File System
HDLC,High-level Data Link Control
HDMI,High Definition Multimedia Interface
HDMI,High-Definition Multimedia Interface
HDML,Handheld Device Markup Language
HDR,Hard disk recorder
HDSL,High bit-rate Digital Subscriber Line
HDTV,High-Definition Television
HFC,hybrid fiber coaxial 
HFT,high-frequency trading
HFTP,Hospitality Financial and Technology Professionals
HH,Hand Held
HHD,hybrid hard drive
HHR,hybrid health record
HHS,Health and Human Services
HID,Human Interface Device
HIE,health information exchange
HIMR,Heat-Assisted Interlaced Magnetic Recording
HIMSS,Healthcare Information and Management Systems Society
HIPAA,Health Insurance Portability and Accountability Act
HIPPI,High-Performance Parallel Interface
HiPPO,"highest paid person's opinion, highest paid person in the office"
HIPS,host intrusion prevention systems
HIT,Health IT
HITA,Hospitality Information Technology Association
HITECH,Act Health Information Technology for Economic and Clinical Health Act
HKEY,Handle to Registry Key
HLASM,High Level Assembler
HLD,hardware load-balancing device
HLR,Home Location Register
HMAC,Hash-based Message Authentication Code
HMD,Head Mounted Display
HMI,Human Machine Interface
HMIPv6,Hierarchical Mobile IPv6
HMM,Hidden Markov Model
HOLAP,hybrid online analytical processing
HomeRF,home radio frequency
HP,High Performance
HP-GL,Hewlett-Packard Graphics Language
HPC,High-Performance Computing
HPCC,High Performance Computing and Communications
HPFS,High Performance File System
HPNA,Home Phoneline Networking Alliance
HPPS,High Performance Product Sector
HPSS,High Performance Storage System
HPV,High Production Volume
HR,Human Resources
HRM,Human Resource Management
HSCSD,High-Speed Circuit-Switched Data
HSDPA,High-Speed Downlink Packet Access
HSM,Hierarchical Storage Management
HSM,Hierarchical Storage Manager
HSPA,high speed packet access
HSPD-7,Homeland Security Presidential Directive No. 7
HSRP,Hot Standby Router Protocol
HSSI,High-Speed Serial Interface
HTF,Higgins Trust Framework
HTML,Hypertext Markup Language
HTTP,Hypertext Transfer Protocol
HTTPD,Hypertext Transfer Protocol daemon
HTTPS,HTTP over SSL or HTTP Secure
HUD,Heads Up Display
HVAC,"heating, ventilation, and air conditioning"
HVD,holographic versatile disc
HVD,hosted virtual desktop
I&T,integration testing or integration and testing
I/O,Input Output
I18N,internationalization
IA,internal audit
IaaS,Infrastructure as a Service
IAB,Internet Advertising Bureau
IAB,Internet Architecture Board
IAM,identity access management
IAM,integrated access management
IANA,Internet Assigned Numbers Authority
IAO,Information Awareness Office
IAP,Internet access provider
IAS,"IAS machine (the first electronic computer built at the Institute for Advanced Study), Interactive Application System (a DEC PDP-11 operating system), Internet Authentication Service (a component of Windows Server)"
IAX,Inter-Asterisk Exchange Protocol
IBM,International Business Machines
IBP,integrated business planning
IC,integrated circuit
IC-BPMS,integration-centric business process management suite
ICANN,Internet Corporation for Assigned Names and Numbers
ICD,Interface Control Document
ICE,"In-Circuit Emulator, Information and Content Exchange"
IcM,incident management
ICMP,Internet Control Message Protocol
ICP,Internet commerce provider
ICR,intelligent character recognition
ICT,information and communications technology - or technologies
ICT4D,Information and Communications Technologies for Development
ID,intrusion detection
IDaaS,identity as a Service
IDE,Integrated Development Environment
IDE,Integrated Drive Electronics
IDEA,International Data Encryption Algorithm
IDEF,Integrated Definition
iDEN,Integrated Digital Enhanced Network
IDF,interface device
IDIS,Integrated Disbursement and Information System
IDL,interface definition language
IDoc,intermediate document
IDS,intrusion detection system
IE,Internet Explorer
IEAK,Internet Explorer Administration Kit
IEC,International Electrotechnical Commission
IEEE,Institute of Electrical and Electronics Engineers
IETF,Internet Engineering Task Force
iFCP,Internet Fibre Channel Protocol
IG,Inspector General
IGMP,Internet Group Management Protocol
IGP,Interior Gateway Protocol
iHT2,Institute for Health Technology Transformation
IIOP,Internet Inter-ORB Protocol
IIS,Internet Information Server
IKE,Internet Key Exchange
ILEC,incumbent local exchange carrier
ILM,information life cycle management
IM,infrastructure management
IMA,inverse multiplexing over ATM
IMAP,Internet Message Access Protocol
IMCS,nventory Management and Control System
IMEI,International Mobile Equipment Identity
IMS,Information Management System
IMS,Intelligent Manufacturing Systems
IMS,IP Multimedia Subsystem
IMT,International Mobile Telephone
IMTI,Integrated Manufacturing Technology Initiative
IN,Intelligent Network 
InterNIC,Internet Network Information Center
IOPS,Input/Output Operations Per Second
IOS,Input/Output Supervisor
IoT,Internet of Things
IOTP,Internet Open Trading Protocol
IOV,I/O virtualization
IP,Internet Protocol
IPAM,IP address management
IPC,Institute for Interconnecting and Packaging Electronic Circuits
IPC,interprocess communication
IPFS,InterPlanetary File System
IPI,Intelligent Peripheral Interface
IPL,initial program load
IPLC,international private leased circuit
IPM,intelligent power management
IPMI,Intelligent Platform Management Interface
IPP,Internet presence provider
IPPD,Integrated Product and Process Development
IPPP,Internet presence provider and promoter
IPR,Intellectual Property Rights
IPS,In-Plan Switching
IPsec,Internet Protocol Security
IPT,Integrated Product Team
IPTV,Internet Protocol television
IPv4,Internet Protocol Version 4
IPv6,Internet Protocol Version 6
IPX,Internetwork Packet Exchange
IR,infrared radiation
IRC,Internet Relay Chat
IrDA,Infrared Data Association
IRI,Industrial Research Institute
IRIS,Internet Routing in Space
IRM,Integrated Resource Management
IRP,incident response plan
IRQ,interrupt request
IRR,internal rate of return
IRTF,Internet Research Task Force
IRU,Indefeasible Right of Use
IS,Information System or Information Services
IS-IS,Intermediate System-to-Intermediate System protocol
ISA,Industry Standard Architecture
ISAM,Indexed Sequential Access Method
ISAPI,Internet Server Application Program Interface
iSCSI,Internet Small Computer System Interface
iSCSI,target Internet Small Computer System Interface target
ISDN,Integrated Services Digital Network
ISE,Cisco Identity Services Engine
ISP,Internet Service Provider
ISPF,Interactive System Productivity Facility
ISRC,International Standard Recording Code
ISRS,information storage and retrieval system
ISSU,in-service software upgrade
ISV,Independent Software Vendor
IT,Information Technology
ITAA,Information Technology Association of America
ITaaS,IT as a Service
ITAC,International Telework Association and Council
ITIL,Information Technology Infrastructure Library
ITS,Intelligent Transportation System
ITS,Internet Transaction Server
ITS,issue tracking system
ITSM,IT Service Management
ITSO,International Technical Support Organization
ITSS,Information Technology Solutions Shop
ITU,International Technical Union
ITU,International Telecommunication Union
IV,initialization vector
IVR,Interactive Voice Response
IXC,interexchange carrier
J2EE,"Java 2 Platform, Enterprise Edition"
J2ME,"Java 2 Platform, Micro Edition"
JAAS,Java Authentication and Authorization Service
JAD,Joint Application Development
JANET,Joint Academic Network
JAQL,json query language
JAR,Java ARchive file
JAX-RPC,Java API for XML-Based RPC
JAX-WS,Java API for XML Web Services
JBI,Java Business Integration
JBIG,Joint Bi-level Image Experts Group
JBOD,just a bunch of disks or just a bunch of drives
JCE,Java Cryptography Extension
JCL,job control language
JDBC,Connector Java Database Connectivity Connector
JDBC,Java Database Connectivity
JDK,Java Development Kit
JDO,Java Data Objects
JEDEC,Joint Electron Device Engineering Council
JeOS,just enough operating system
JES,Job Entry Subsystem
JFC,Java Foundation Classes
JFET,Junction Field-Effect Transistor 
JHTML,Java within Hypertext Markup Language
JIC,manufacturing just-in-case manufacturing
JMS,Java Message Service
JMX,Java Management Extensions
JNDI,Java Naming and Directory Interface
JOBS,Act Jumpstart Our Business Startups Act
JOLAP,Java Online Analytical Processing
JPEG,Joint Photographic Experts Group
JRE,Java Runtime Environment
JSML,Java Speech API Markup Language
JSON,Javascript Object Notation
JSP,Java Server Page
JTAPI,Java Telephony Application Programming Interface
JVM,Java virtual machine
JXTA,juxtaposed
K6,AMD-K6
KB,kilobyte
KBA,knowledge-based authentication
KBE,Knowledge-Based Engineering
Kbps,kilobits per second
KBW,keyboard wedge
KDE,K Desktop Environment
KGD,Known Good Die
KISS,"Keep It Simple, Stupid"
KLOC,thousands of lines of code
KM,knowledge management 
KMD,Kazaa Media Desktop
KML,Keyhole Markup Language
KPI,Key Performance Indicator
KRI,key risk indicator
KVM,kernel-based Virtual Machine
KVP,key-value pair
KW,Knowledge Warehouse
l10n,localization
L2TP,Layer 2 Tunneling Protocol
L2TP,Layer Two Tunneling Protocol
LAMP,"Linux, Apache, MySQL, PHP"
LAN,Local Area Network
LAR,Large Account Reseller
LATA,local access and transport area
LBA,logical block addressing
LBM,location-based marketing
LBO,leveraged buyout
LBS,location-based service
LCA,Life Cycle Assessment
LCC,Leadless Chip Carrier
LCC,limited combustible cable
LCD,Liquid Crystal Display
LCL,Less Than Container Load
LCP,Link Control Protocol
LCPC,Life Cycle Product Cost
LDAP,Lightweight Directory Access Protocol
LDCM,LANDesk Client Manager
LDD,locked down device
LDIF,Lightweight Directory Interchange Format
LDMOS,Laterally Diffused MOS transistor 
LDQ,longest delay in queue
LDSI,Laboratory Data Sharing Interoperability
LEAP,Lightweight Extensible Authentication Protocol
LEC,local exchange carrier
LED,light-emitting diode
LEED,Leadership in Energy and Environmental Design
LES,Logistics Execution System
Lex,lexical analyzer generator
LHC,Large Hadron Collider
LI,lawful interception
LI,location intelligence
Li-Ion,Lithium Ion battery
LIDB,line information database
LILO,LInux LOader
LINQ,Language Integrated Query
LISP,list processing
LLM,Large Language Model
LLVM,Compiler Infrastructure (Low Level Virtual Machine)
LMDS,Local Multi-Point Distribution System
LMGTFY,Let Me Google That For You
LMOF,last mile of finance
LMS,learning management system
LNA,Local Noise Amplifier
LNP,Local Number Portability
LOB,line-of-business
LOC,Lines Of Code
LOINC,Logical Observation Identifiers Names and Codes
LOM,lights-out management
LP,Lean Production
LPAR,logical partition
LPT,line print terminal
LQSR,Link Quality Source Routing
LRN,Location Routing Number
LSA,Local Security Authority
LSB,Linux Standard Base
LSI,Large Scale Integration
LTC,longitudinal time code
LTE,Long Term Evolution
LTFS,Linear Tape File System
LTL,Less Than Truckload
LTO,Linear Tape-Open
LTS,Long Term Support
LU,logical unit
LUN,logical unit number
LVS,Layout Verification Systems
M&A,mergers and acquisitions
M&O,Management and Operations
M&S,Modeling and Simulation
M2M,Machine to Machine
M3U,Moving Picture Experts Group Audio Layer 3
MAC,mandatory access control
MAC,message authentication code
MAD,Mobile Active Defense
MADE,Manufacturing Automation and Design Exploration
MAID,massive array of idle disks
MAM,mobile application management
MAM,mobile application manager
MAN,metropolitan area network
MAPI,Messaging Application Program Interface
MAU,media attachment unit
MB,megabyte
MBean,managed bean
MBone,Multicast Internet
MBps,megabytes per second
Mbps,millions of bits per second or megabits per second
MBR,Master Boot Record
MC,Mass Customization
MCA,Micro Channel Architecture
MCA,Microsoft Connectivity Analyzer
MCE,Microsoft Certified Educator 
MCL,Mesh Connectivity Layer
MCM,multi-carrier modulation
Mcps,megachips per second
MCS,Manufacturing Control System
MCSA,Microsoft Certified Solutions Associate
MCSD,Microsoft Certified Solution Developer
MCSE,Microsoft Certified Systems Engineer
MDB,multidimensional database
MDD,model-driven development
MDI,Multiple Document Interface
MDM,master data management
MDM,mobile device management
MDOP,Microsoft Desktop Optimization Pack
MDP,Multicast Dissemination Protocol
MDRAM,Multibank Dynamic RAM
MDX,multidimensional expressions
MEAP,mobile enterprise application platform
MEMS,Micro-electromechanical Systems
MEP,Manufacturing Extension Partnership
MES,Manufacturing Execution System
MESA,Manufacturing Execution System Association
MFA,multifactor authentication
MFP,multifunction peripheral
MFSK,multiple frequency shift keying
MFT,managed file transfer
MFT,master file table
MGCP,Media Gateway Control Protocol
MHP,Multimedia Home Platform
MIB,management information base 
MIC,microwave integrated circuit
MICR,magnetic ink character recognition
MID,mobile Internet device
MIDI,Musical Instrument Digital Interface
MIM,mobile information management
MIME,Multi-Purpose Internet Mail Extensions
MIMO,"multiple input, multiple output"
MIPS,million instructions per second
MIS,management information systems
MISO,"multiple input, single output"
MLA,mobile location analytics
MLC,multi-level cell
MMC,Microsoft Management Console
MMC,mobile-to-mobile convergence
MMC,MultiMediaCard
MMDS,Multichannel Multipoint Distribution Service
MMI,Man Machine Interface
MMIS,Maintenance Management Information System
MMP,multichassis multilink PPP
MMS,Manufacturing Message Specification
MMS,Multimedia Messaging Service
MMU,memory management unit
MO,magneto-optical drive
moblog,mobile blog
MOF,Microsoft Operations Framework
MOL,middle of life 
MOLAP,"multidimensional online analytical processing"
MOM,Manufacturing operation management
MOOC,massive open online course
MOS,mean opinion score
MOSFET,metal-oxide semiconductor field-effect transistor
MOSH,mobile shell
MOSPF,Multicast Open Shortest Path First
MOSS,Microsoft Office SharePoint Server
MOU,memorandum of understanding
MOVE,Aruba's Mobile Virtual Enterprise
MP3,MPEG-1 Audio Layer-3
MPEG,Moving Picture Experts Group
MPI,master patient index
MPI,message passing interface
MPIO,Multipath I/O
MPLS,Multiprotocol Label Switching
mPOS,mobile point of sale
MPP,massively parallel processing
MPPE,Microsoft Point-to-Point Encryption
MPS,managed print services
MPS,Master Production Schedule
MR-IOV,Multi-Root IOV
MRAM,magnetoresistive random access memory
MRI,magnetic resonance imaging
MRP,Manufacturing Resource Planning
MrSID,Multi-resolution Seamless Image Database
MS-DOS,Microsoft Disk Operating System
MSAU,multistation access unit
MSBF,mean-swap-between-failure
MSCMDM,Microsoft System Center Mobile Device Manager
MSCS,Microsoft Cluster Server
MSDOS,Microsoft Disk Operating System
MSDS,Material Safety Data Sheet
MSE,Microsoft Security Essentials 
MSP,managed service provider
MSP,management service provider
MSRP,Message Session Relay Protocol
MSS,managed security services
MSS,maximum segment size
MSS,mobile satellite services
MSSP,managed security service provider
MT,medical transcription
MTO,Make To Order
Mtops,million theoretical operations per second
MTPOD,maximum tolerable period of disruption
MTS,Make To Stock
MTS,medical transcription software
MTS,Microsoft Transaction Server
MTU,maximum transmission unit
MUA,mail user agent
MUD,Multi-User Dungeon
Multics,Multiplexed Information and Computing Service
MULTOS,Multiple Operating System
mutex,mutual exclusion object
MV,machine vision
MVA,Microsoft Virtual Academy
MVC,model-view-controller
MVMC,Microsoft Virtual Machine Converter
MVNO,mobile virtual network operator
MVP,Microsoft Most Valuable Professional
MVS,Multiple Virtual Storage
MVC,Mobile World Congress (in Barcelona)
NaaS,network-as-a-service
NAC,network access control
NACHA,National Automated Clearing House Association
NAHIT,National Alliance for Health Information Technology 
NAK,negative acknowledgment or not acknowledged
NAP,Microsoft Network Access Protection
NAP,network access point
NAS,"Network Access Server, Network-Attached Storage"
NAT,Network Address Translation
NBA,network behavior analysis
NBAD,network behavior anomaly detection
NBAR,Network Based Application Recognition
NBMA,non-broadcast multiple access
NC,network computer
NCA,native cloud application
NCFA,National Call Fee Access
NCM,network configuration management
NCMS,National Center for Manufacturing Sciences
NCQ,Native Command Queuing
NCSC,National Computer Security Center
NCVHS,National Committee on Vital and Health Statistics
NDA,non-disclosure agreement
NDIS,Network Driver Interface Specification
NDMP,Network Data Management Protocol
NDS,Novell Directory Services
NECP,National Emergency Communications Plan
NED,nano-emissive display
NEDSS,National Electronic Disease Surveillance System
NERC,North American Electric Reliability Corporation
NetBEUI,NetBIOS Extended User Interface
NetBIOS,Network Basic Input/Output System
NetPC,Network PC
NeXT,near-end crosstalk
NFC,Near Field Communication
NFT,Non-Fungible Token
NFR,not for resale
NFS,Network File System
NFTS,national file tracking system
NFV,network functions virtualization
NGFW,next-generation firewall
NGSCB,Next Generation Secure Computing Base
NHII,National Health Information Infrastructure
