TERM,MEANING
SG,"Specific Gravity, Spheroidal Graphite"
SH,Thiol functional group
SHC,Synthetic HydroCarbon
SHE,Standard Hydrogen Electrode
SHF,Super High Frequency
SI,"Système international d’unités (International System of Units)"
Si,Silicon
SL,Sea Level
SL,Short Lived
SLI,Solid-Liquid Interface
SLP,Sea Level Pressure
Sm,Samarium
SM,Semi-Metal
SM,Standard Model
SMILES,Simplified Molecular Input Line Entry System
SN,Sodium Nitrate
Sn,Tin
SNAP,"S-Nitroso-N-AcetylPenicillamine"
SNP,Single-Nucleotide Polymorphism
sp,hybrid orbital between s and p orbitals
SP,Solubility Product
Sp,Special
SP,Starting Point
SPDF,atomic electron orbital names
SQ,squared
Sr,Strontium
SS,Solid Solution
SS,Stainless Steel
SSP,Steady State Plasma
STEL,Short Term Exposure Limit
STM,Scanning Tunneling Microscope
STP,Standard Temperature and Pressure
SUS,SUSpension
T,Period of a wave
T,Tera prefix (1012)
T,Thymine
t,time
T,Transition Metal
T,Tritium
Ta,Tantalum
TaC,Tantalum Carbide
TAC,Teiacetyl Cellulose
TAG,TriAcylGlyceride
tan,tangent
TAN,Total Acid Number
TAS,"Total Alkali versus Silica, Total Analysis System"
TAT,TriAcetone TriPeroxide
Tb,Terbium
TBA,"2,4,6-TriBromoAnisole"
TBA,TertButylArsine
TBC,4-TertButylCatechol
TBHQ,TertButylHydroQuinone
TBP,True Boiling Point
TBT,TriButylTin
Tc,"Critical Temperature, Technitium"
TC,"Temperature Compensated, Temperature Controlled, Theoretical Chemistry"
TCA,TauroCholic Acid
TCA,TCA cycle (citric acid cycle)
TCA,TriChloroAcetic Acid
TCE,TriChloroEthane
TCF,ThiolCarbon Fiber
TCM,TetraChloromethane
TCP,"1,2,3-TriChloropropane, Thermal Conversion Process, Tocopherol, TriCalcium Phosphate, TriChloroPhenol"
TCS,Toxic Chemical System
TCT,ToCoTrienol
TCV,Temperature Control Valve
TCVF,Two Chamber Vacuum Furnace
TD,Temperature Displacement
TD,Thermal Deposition
TDA,Thermal Dilatometric Analysis
TDC,Three Degrees Centigrade
TDG,ThymineDNA Glycosylase
TDI,Tolerable Daily Intake
TDI,Toluene DiIsonate
TDO,"Tryptophan 2,3-DiOxygenase"
TDP,Thermal DePolymerization
TDP,Thiamine DiPhosphate
TDP,Thymidine DiPhosphate
Te,Tellurium
TEA,Terminal Electron Acceptor
TEC,Thermal Electric Cooler
TEL,Tetra Ethyl Lead
TFM,Total Fatty Matter
Th,Thorium
THC,Tetra Hydra Cannabinol
THM,TriHaloMethanes
TI,Thermal Index
Ti,Titanium
TIC,Total Ion Current
TIMS,Thermal Ionization Mass Spectroscopy
TIP,TrisIsopropyl Phenyl
Tl,Thallium
TLC,Thin Layer Chromatography
TLV,Toxic Level Value
Tm,Thulium
TM,Transition Metal
TMD,Theoretical Maximum Density
TMG,TriMethylGlycine
TMMA,TetraMethylMalonAmide
TMP,TriMethylPhosphate
TMS,TriMethylSilane
TNB,TriNitroBenzene
TNS,Test No Ether
TNT,TriNitroToluene
TOBSY,Total ThroughBond Correlation Spectroscopy
TOC,Total Organic Carbon
TOI,Table Of Isotopes
TON,Table Of Nuclides
TOX,Toxic
TP,"Transition Point, Triple Point"
TPE,ThermoPlastic Elastomer
TPM,Total Particulate Matter
TR,Table Row
TRAP,Tartrate Resistant Acid Phosphatase
TRFM,Time Resolved Fluorescence Microscopy
TRP,Tryptophan
TS,Temperature Sensitive
TSCB,TriSilaCycloButane
TSP,Thermally Stable Polycrystalline
TSP,TriSodium Phosphate
TSPM,Total Suspended Particulate Matter
TSS,Total Soluble Solids
TST,Transitional State Theory
TT,Test Tube
TTC,Triphenyl Tetrazolium Chloride
TTFD,Thiamine TetraHydroFurfurylDisulfide
TTLC,Total Threshold Limit Concentration
TTO,Total Toxic Organics
TTP,Thymine TriPhosphate
TTX,Tetrodotoxin
TU,Thermally Unbound
TWMC,Time Weighted Mean Concentration
TWV,Total Water Vapor
U,"Internal Energy, Undetectable, Uranium"
UAFM,Uranyl Acetate Fluorescence Method
UCK,Universal Chemical Key
UG,"Undisturbed Gas UHC,Unburned HydroCarbons"
UHF,Ultra High Frequency
UHMW,Ultra High Molecular Weight
UHP,"Ultra High Pressure, Ultra High Purity"
UHT,Ultra High Temperature
UHV,Ultra High Vacuum
ULG,Universal Liquid Gas
ULO,Ultra Low Oxygen
ULOQ,Upper Limit Of Quantitation
ULS,Ultra Low Sulfur
ULT,Ultra Low Temperature
UNK,UNKnown
UPW,Ultra Pure Water
UQY,Ultimate Quality and Yield
UUD,"UnUnDuium (Element 112, now Cn)"
UUH,UnUnHexium (Element 116)
UUO,UnUnOctium (Element 118)
UUP,UnUnPentium (Element 115)
UUQ,UnUnQuadium (Element 114)
UUS,UnUnSeptium (Element 117)
UUU,"UnUnUnium (Element 111, now Rg)"
UV,UltraViolet
UV-A,UltravViolet band A
UV-B,UltraViolet band B
UVA,UltraViolet band A
UVB,UltraViolet band B
UVF,UtraViolet Filter
UVL,UltraViolet Lamp
UVR,UltraViolet Reactive
UXS,Glucuronic Acid DeCarboxylase
UYQ,Uranium Yield Quantity
V,"Vacuum, Valene, Vanadium, Volt, Volume"
v,velocity
VA,"Nitrogen group, Volume Analyzer"
VAC,"Vacuum, Vacuum Assisted Closure"
VB,"Vacuum Break, Valence Band"
VBJ,Vacuum Bell Jar
VBT,Valence Bond Theory
VC,"Vapor Cloud, Vinyl Chloride, Viscous Coupled"
VCE,Vapor Cloud Explosion
VCM,Vinyl Chloride Monomer
Vd,Volume distribution
VDB,VanDyke Brown test
VDF,Van der Waals force
VDW,Van der Waals radius
VEQ,"EQuilibrium Volume, EQuivalence point Volume"
VFn,Vertical Face number (n is a number)
VH,Vapor Hazard
VHH,Volatile Halogenated Hydrocarbon
VHI,Vapor Hazard Index
VHN,Vickers Hardness Number
VHP,"Vaporized Hydrogen Peroxide, Very High Pressure"
VHT,Very High Temperature
VHY,Very High Yield
VI,Viscosity Index
VLD,Vacuum Leak Detector
VLE,Vapor Liquid Equilibrium
VMD,Visual Molecular Dynamics
VO,Vacuum Oven
VOA,Volatile Organic Analysis
VOC,Volatile Organic Compound
VOL,Volume
VP,"Vapor Point, Vapor Pressure"
VPE,Virtual Potential Energy
VR,Very Rapid
VS,Very Saturated
VS,Volatile Solid
VSC,Volatile Sulfur Compound
VSS,Volatile Suspended Solid
VTC,Variable Temperature Cutoff
VTP,"Volume, Temperature, Pressure"
VU,Volume Units
VV,"Vacuum Vessel, Valence-Valence"
VW,Varies Widely
W,"Tryptofan, Tungsten, Watt, wavelength, Weight, width, Work"
W5,Which Was What We Wanted
WA,Weak Acid
WAC,Weak Acid Cation
WB,"Water Based, Weak Base, Weak Bond"
WBA,Weak Base Anion
WC,Water Cosolvent
WCS,Worst Case Scenario
WD,"Water Dispersant, Water Displacement, Wet/Dry"
WIAP,Water In All Phases
WIN,Water Insoluble Nitrogen
WNA,World Nuclear Association
WO,Weak Oxidizer
WP,White Phosphorus
WPS,Water Phase Salt
WR,Water Repellent
WS,"Wash Solution, Water Soluble"
WSNZ,Water Soluble Zinc
WSPI,"Water-Soluble Phosphorous, Inorganic"
WSPO,"Water-Soluble Phosphorous, Organic"
WSS,Water Soluble Stabilizer
WST,Weighted Settling Time
WV,Water Vapor
WVDA,Water Vapor Diffusion Analysis
WVM,Water Vapor Monitor
WVN,Water Vapor Nitrogen
WVP,Water Vapor Permeability
WVT,Water Vapor Transport
WW,Waste Water
WWIX,Waste Water Ion eXchange
WYOL,Write Your Own Lab
WYOLA,Write Your Own Lab Assignment
WYU,What You Use
X,"Halogen, unknown"
XAG,Silver Troy Ounce
XAN,XANthine
XAU,Gold Troy Ounce
XDB,eXtra Dense Bonding
Xe,Xenon
XLS,Xenon Light Source
XOD,Xanthine Oxidase
XPD,Palladium Troy Ounce
XPT,Platinum Troy Ounce
XUM,X-ray Ultra-Microscope
XYD,XYliDine
Y,"Tyrosine, Yotta prefix (1024), Yttrium"
y,yocto prefix (10-24)
YA,Yield Analysis
YAG,Yttrium Aluminum Garnet
YAP,Yield Analysis Pattern
Yb,Ytterbium
YBCO,Yttrium Barium Copper Oxide
YBG,Your Best Guess
YCC,American Chemical Society Younger Chemists Committee
Yd,Yard
YIC,Yttrium Lithium Fluoride
Yr,Year
YZN,Yellow ZiNc dichromate
Z,"Atomic Number, azimuth, Impedance, proton number, zero, Zetta prefix (1021)"
z,zepto prefix (10-21)
ZB,Zinc Blende
ZC,Zero Calibration
ZC,Zinc Composite
ZCG,Zeolite Crystal Growth
ZCR,Zinc Chromium
ZCS,Zinc Coated Steel
ZDC,Zero Degrees Kelvin
ZE,Zone Electrophoresis
ZEKE,Zero Electron Kinetic Energy
ZG,Zero Gravity
ZINC,Zinc Is Not Copper
ZK,Zero Kelvin
Zn,Zinc
ZO,Zinc Oxide
ZP,Zero Pressure
Zr,Zirconium
ZRE,Zinc Responsive Element
