"Port","Service","Protocol","Description"
"1776","femis","udp","Federal Emergency Management Information System"
"1777","powerguardian","tcp","powerguardian"
"1777","powerguardian","udp","powerguardian"
"1778","prodigy-intrnet","tcp","prodigy-internet"
"1778","prodigy-intrnet","udp","prodigy-internet"
"1779","pharmasoft","tcp","pharmasoft"
"1779","pharmasoft","udp","pharmasoft"
"1780","dpkeyserv","tcp","dpkeyserv"
"1780","dpkeyserv","udp","dpkeyserv"
"1781","answersoft-lm","tcp","answersoft-lm"
"1781","answersoft-lm","udp","answersoft-lm"
"1782","hp-hcip","tcp","hp-hcip"
"1782","hp-hcip","udp","hp-hcip"
"1783","","","Decomissioned Port 04/14/00, ms"
"1784","finle-lm","tcp","Finle License Manager"
"1784","finle-lm","udp","Finle License Manager"
"1785","windlm","tcp","Wind River Systems License Manager"
"1785","windlm","udp","Wind River Systems License Manager"
"1786","funk-logger","tcp","funk-logger"
"1786","funk-logger","udp","funk-logger"
"1787","funk-license","tcp","funk-license"
"1787","funk-license","udp","funk-license"
"1788","psmond","tcp","psmond"
"1788","psmond","udp","psmond"
"1789","hello","tcp","hello"
"1789","hello","udp","hello"
"1790","nmsp","tcp","Narrative Media Streaming Protocol"
"1790","nmsp","udp","Narrative Media Streaming Protocol"
"1791","ea1","tcp","EA1"
"1791","ea1","udp","EA1"
"1792","ibm-dt-2","tcp","ibm-dt-2"
"1792","ibm-dt-2","udp","ibm-dt-2"
"1793","rsc-robot","tcp","rsc-robot"
"1793","rsc-robot","udp","rsc-robot"
"1794","cera-bcm","tcp","cera-bcm"
"1794","cera-bcm","udp","cera-bcm"
"1795","dpi-proxy","tcp","dpi-proxy"
"1795","dpi-proxy","udp","dpi-proxy"
"1796","vocaltec-admin","tcp","Vocaltec Server Administration"
"1796","vocaltec-admin","udp","Vocaltec Server Administration"
"1797","uma","tcp","UMA"
"1797","uma","udp","UMA"
"1798","etp","tcp","Event Transfer Protocol"
"1798","etp","udp","Event Transfer Protocol"
"1799","netrisk","tcp","NETRISK"
"1799","netrisk","udp","NETRISK"
"1800","ansys-lm","tcp","ANSYS-License manager"
"1800","ansys-lm","udp","ANSYS-License manager"
"1801","msmq","tcp","Microsoft Message Que"
"1801","msmq","udp","Microsoft Message Que"
"1802","concomp1","tcp","ConComp1"
"1802","concomp1","udp","ConComp1"
"1803","hp-hcip-gwy","tcp","HP-HCIP-GWY"
"1803","hp-hcip-gwy","udp","HP-HCIP-GWY"
"1804","enl","tcp","ENL"
"1804","enl","udp","ENL"
"1805","enl-name","tcp","ENL-Name"
"1805","enl-name","udp","ENL-Name"
"1806","musiconline","tcp","Musiconline"
"1806","musiconline","udp","Musiconline"
"1807","fhsp","tcp","Fujitsu Hot Standby Protocol"
"1807","fhsp","udp","Fujitsu Hot Standby Protocol"
"1808","oracle-vp2","tcp","Oracle-VP2"
"1808","oracle-vp2","udp","Oracle-VP2"
"1809","oracle-vp1","tcp","Oracle-VP1"
"1809","oracle-vp1","udp","Oracle-VP1"
"1810","jerand-lm","tcp","Jerand License Manager"
"1810","jerand-lm","udp","Jerand License Manager"
"1811","scientia-sdb","tcp","Scientia-SDB"
"1811","scientia-sdb","udp","Scientia-SDB"
"1812","radius","tcp","RADIUS"
"1812","radius","udp","RADIUS"
"1813","radius-acct","tcp","RADIUS Accounting"
"1813","radius-acct","udp","RADIUS Accounting"
"1814","tdp-suite","tcp","TDP Suite"
"1814","tdp-suite","udp","TDP Suite"
"1815","mmpft","tcp","MMPFT"
"1815","mmpft","udp","MMPFT"
"1816","harp","tcp","HARP"
"1816","harp","udp","HARP"
"1817","rkb-oscs","tcp","RKB-OSCS"
"1817","rkb-oscs","udp","RKB-OSCS"
"1818","etftp","tcp","Enhanced Trivial File Transfer Protocol"
"1818","etftp","udp","Enhanced Trivial File Transfer Protocol"
"1819","plato-lm","tcp","Plato License Manager"
"1819","plato-lm","udp","Plato License Manager"
"1820","mcagent","tcp","mcagent"
"1820","mcagent","udp","mcagent"
"1821","donnyworld","tcp","donnyworld"
"1821","donnyworld","udp","donnyworld"
"1822","es-elmd","tcp","es-elmd"
"1822","es-elmd","udp","es-elmd"
"1823","unisys-lm","tcp","Unisys Natural Language License Manager"
"1823","unisys-lm","udp","Unisys Natural Language License Manager"
"1824","metrics-pas","tcp","metrics-pas"
"1824","metrics-pas","udp","metrics-pas"
"1825","direcpc-video","tcp","DirecPC Video"
"1825","direcpc-video","udp","DirecPC Video"
"1826","ardt","tcp","ARDT"
"1826","ardt","udp","ARDT"
"1827","asi","tcp","ASI"
"1827","asi","udp","ASI"
"1828","itm-mcell-u","tcp","itm-mcell-u"
"1828","itm-mcell-u","udp","itm-mcell-u"
"1829","optika-emedia","tcp","Optika eMedia"
"1829","optika-emedia","udp","Optika eMedia"
"1830","net8-cman","tcp","Oracle Net8 CMan Admin"
"1830","net8-cman","udp","Oracle Net8 CMan Admin"
"1831","myrtle","tcp","Myrtle"
"1831","myrtle","udp","Myrtle"
"1832","tht-treasure","tcp","ThoughtTreasure"
"1832","tht-treasure","udp","ThoughtTreasure"
"1833","udpradio","tcp","udpradio"
"1833","udpradio","udp","udpradio"
"1834","ardusuni","tcp","ARDUS Unicast"
"1834","ardusuni","udp","ARDUS Unicast"
"1835","ardusmul","tcp","ARDUS Multicast"
"1835","ardusmul","udp","ARDUS Multicast"
"1836","ste-smsc","tcp","ste-smsc"
"1836","ste-smsc","udp","ste-smsc"
"1837","csoft1","tcp","csoft1"
"1837","csoft1","udp","csoft1"
"1838","talnet","tcp","TALNET"
"1838","talnet","udp","TALNET"
"1839","netopia-vo1","tcp","netopia-vo1"
"1839","netopia-vo1","udp","netopia-vo1"
"1840","netopia-vo2","tcp","netopia-vo2"
"1840","netopia-vo2","udp","netopia-vo2"
"1841","netopia-vo3","tcp","netopia-vo3"
"1841","netopia-vo3","udp","netopia-vo3"
"1842","netopia-vo4","tcp","netopia-vo4"
"1842","netopia-vo4","udp","netopia-vo4"
"1843","netopia-vo5","tcp","netopia-vo5"
"1843","netopia-vo5","udp","netopia-vo5"
"1844","direcpc-dll","tcp","DirecPC-DLL"
"1844","direcpc-dll","udp","DirecPC-DLL"
"1845","altalink","tcp","altalink"
"1845","altalink","udp","altalink"
"1846","tunstall-pnc","tcp","Tunstall PNC"
"1846","tunstall-pnc","udp","Tunstall PNC"
"1847","slp-notify","tcp","SLP Notification"
"1847","slp-notify","udp","SLP Notification"
"1848","fjdocdist","tcp","fjdocdist"
"1848","fjdocdist","udp","fjdocdist"
"1849","alpha-sms","tcp","ALPHA-SMS"
"1849","alpha-sms","udp","ALPHA-SMS"
"1850","gsi","tcp","GSI"
"1850","gsi","udp","GSI"
"1851","ctcd","tcp","ctcd"
"1851","ctcd","udp","ctcd"
"1852","virtual-time","tcp","Virtual Time"
"1852","virtual-time","udp","Virtual Time"
"1853","vids-avtp","tcp","VIDS-AVTP"
"1853","vids-avtp","udp","VIDS-AVTP"
"1854","buddy-draw","tcp","Buddy Draw"
"1854","buddy-draw","udp","Buddy Draw"
"1855","fiorano-rtrsvc","tcp","Fiorano RtrSvc"
"1855","fiorano-rtrsvc","udp","Fiorano RtrSvc"
"1856","fiorano-msgsvc","tcp","Fiorano MsgSvc"
"1856","fiorano-msgsvc","udp","Fiorano MsgSvc"
"1857","datacaptor","tcp","DataCaptor"
"1857","datacaptor","udp","DataCaptor"
"1858","privateark","tcp","PrivateArk"
"1858","privateark","udp","PrivateArk"
"1859","gammafetchsvr","tcp","Gamma Fetcher Server"
"1859","gammafetchsvr","udp","Gamma Fetcher Server"
"1860","sunscalar-svc","tcp","SunSCALAR Services"
"1860","sunscalar-svc","udp","SunSCALAR Services"
"1861","lecroy-vicp","tcp","LeCroy VICP"
"1861","lecroy-vicp","udp","LeCroy VICP"
"1862","mysql-cm-agent","tcp","MySQL Cluster Manager Agent"
"1862","mysql-cm-agent","udp","MySQL Cluster Manager Agent"
"1863","msnp","tcp","MSNP"
"1863","msnp","udp","MSNP"
"1864","paradym-31port","tcp","Paradym 31 Port"
"1864","paradym-31port","udp","Paradym 31 Port"
"1865","entp","tcp","ENTP"
"1865","entp","udp","ENTP"
"1866","swrmi","tcp","swrmi"
"1866","swrmi","udp","swrmi"
"1867","udrive","tcp","UDRIVE"
"1867","udrive","udp","UDRIVE"
"1868","viziblebrowser","tcp","VizibleBrowser"
"1868","viziblebrowser","udp","VizibleBrowser"
"1869","transact","tcp","TransAct"
"1869","transact","udp","TransAct"
"1870","sunscalar-dns","tcp","SunSCALAR DNS Service"
"1870","sunscalar-dns","udp","SunSCALAR DNS Service"
"1871","canocentral0","tcp","Cano Central 0"
"1871","canocentral0","udp","Cano Central 0"
"1872","canocentral1","tcp","Cano Central 1"
"1872","canocentral1","udp","Cano Central 1"
"1873","fjmpjps","tcp","Fjmpjps"
"1873","fjmpjps","udp","Fjmpjps"
"1874","fjswapsnp","tcp","Fjswapsnp"
"1874","fjswapsnp","udp","Fjswapsnp"
"1875","westell-stats","tcp","westell stats"
"1875","westell-stats","udp","westell stats"
"1876","ewcappsrv","tcp","ewcappsrv"
"1876","ewcappsrv","udp","ewcappsrv"
"1877","hp-webqosdb","tcp","hp-webqosdb"
"1877","hp-webqosdb","udp","hp-webqosdb"
"1878","drmsmc","tcp","drmsmc"
"1878","drmsmc","udp","drmsmc"
"1879","nettgain-nms","tcp","NettGain NMS"
"1879","nettgain-nms","udp","NettGain NMS"
"1880","vsat-control","tcp","Gilat VSAT Control"
"1880","vsat-control","udp","Gilat VSAT Control"
"1881","ibm-mqseries2","tcp","IBM WebSphere MQ Everyplace"
"1881","ibm-mqseries2","udp","IBM WebSphere MQ Everyplace"
"1882","ecsqdmn","tcp","CA eTrust Common Services"
"1882","ecsqdmn","udp","CA eTrust Common Services"
"1883","mqtt","tcp","Message Queuing Telemetry Transport Protocol"
"1883","mqtt","udp","Message Queuing Telemetry Transport Protocol"
"1884","idmaps","tcp","Internet Distance Map Svc"
"1884","idmaps","udp","Internet Distance Map Svc"
"1885","vrtstrapserver","tcp","Veritas Trap Server"
"1885","vrtstrapserver","udp","Veritas Trap Server"
"1886","leoip","tcp","Leonardo over IP"
"1886","leoip","udp","Leonardo over IP"
"1887","filex-lport","tcp","FileX Listening Port"
"1887","filex-lport","udp","FileX Listening Port"
"1888","ncconfig","tcp","NC Config Port"
"1888","ncconfig","udp","NC Config Port"
"1889","unify-adapter","tcp","Unify Web Adapter Service"
"1889","unify-adapter","udp","Unify Web Adapter Service"
"1890","wilkenlistener","tcp","wilkenListener"
"1890","wilkenlistener","udp","wilkenListener"
"1891","childkey-notif","tcp","ChildKey Notification"
"1891","childkey-notif","udp","ChildKey Notification"
"1892","childkey-ctrl","tcp","ChildKey Control"
"1892","childkey-ctrl","udp","ChildKey Control"
"1893","elad","tcp","ELAD Protocol"
"1893","elad","udp","ELAD Protocol"
"1894","o2server-port","tcp","O2Server Port"
"1894","o2server-port","udp","O2Server Port"
"1895","","tcp","unassigned"
"1895","","udp","unassigned"
"1896","b-novative-ls","tcp","b-novative license server"
"1896","b-novative-ls","udp","b-novative license server"
"1897","metaagent","tcp","MetaAgent"
"1897","metaagent","udp","MetaAgent"
"1898","cymtec-port","tcp","Cymtec secure management"
"1898","cymtec-port","udp","Cymtec secure management"
"1899","mc2studios","tcp","MC2Studios"
"1899","mc2studios","udp","MC2Studios"
"1900","ssdp","tcp","SSDP"
"1900","ssdp","udp","SSDP"
"1901","fjicl-tep-a","tcp","Fujitsu ICL Terminal Emulator Program A"
"1901","fjicl-tep-a","udp","Fujitsu ICL Terminal Emulator Program A"
"1902","fjicl-tep-b","tcp","Fujitsu ICL Terminal Emulator Program B"
"1902","fjicl-tep-b","udp","Fujitsu ICL Terminal Emulator Program B"
"1903","linkname","tcp","Local Link Name Resolution"
"1903","linkname","udp","Local Link Name Resolution"
"1904","fjicl-tep-c","tcp","Fujitsu ICL Terminal Emulator Program C"
"1904","fjicl-tep-c","udp","Fujitsu ICL Terminal Emulator Program C"
"1905","sugp","tcp","Secure UP.Link Gateway Protocol"
"1905","sugp","udp","Secure UP.Link Gateway Protocol"
"1906","tpmd","tcp","TPortMapperReq"
"1906","tpmd","udp","TPortMapperReq"
"1907","intrastar","tcp","IntraSTAR"
"1907","intrastar","udp","IntraSTAR"
"1908","dawn","tcp","Dawn"
"1908","dawn","udp","Dawn"
"1909","global-wlink","tcp","Global World Link"
"1909","global-wlink","udp","Global World Link"
"1910","ultrabac","tcp","UltraBac Software communications port"
"1910","ultrabac","udp","UltraBac Software communications port"
"1911","mtp","tcp","Starlight Networks Multimedia Transport Protocol"
"1911","mtp","udp","Starlight Networks Multimedia Transport Protocol"
"1912","rhp-iibp","tcp","rhp-iibp"
"1912","rhp-iibp","udp","rhp-iibp"
"1913","armadp","tcp","armadp"
"1913","armadp","udp","armadp"
"1914","elm-momentum","tcp","Elm-Momentum"
"1914","elm-momentum","udp","Elm-Momentum"
"1915","facelink","tcp","FACELINK"
"1915","facelink","udp","FACELINK"
"1916","persona","tcp","Persoft Persona"
"1916","persona","udp","Persoft Persona"
"1917","noagent","tcp","nOAgent"
"1917","noagent","udp","nOAgent"
"1918","can-nds","tcp","IBM Tivole Directory Service - NDS"
"1918","can-nds","udp","IBM Tivole Directory Service - NDS"
"1919","can-dch","tcp","IBM Tivoli Directory Service - DCH"
"1919","can-dch","udp","IBM Tivoli Directory Service - DCH"
"1920","can-ferret","tcp","IBM Tivoli Directory Service - FERRET"
"1920","can-ferret","udp","IBM Tivoli Directory Service - FERRET"
"1921","noadmin","tcp","NoAdmin"
"1921","noadmin","udp","NoAdmin"
"1922","tapestry","tcp","Tapestry"
"1922","tapestry","udp","Tapestry"
"1923","spice","tcp","SPICE"
"1923","spice","udp","SPICE"
"1924","xiip","tcp","XIIP"
"1924","xiip","udp","XIIP"
"1925","discovery-port","tcp","Surrogate Discovery Port"
"1925","discovery-port","udp","Surrogate Discovery Port"
"1926","egs","tcp","Evolution Game Server"
"1926","egs","udp","Evolution Game Server"
"1927","videte-cipc","tcp","Videte CIPC Port"
"1927","videte-cipc","udp","Videte CIPC Port"
"1928","emsd-port","tcp","Expnd Maui Srvr Dscovr"
"1928","emsd-port","udp","Expnd Maui Srvr Dscovr"
"1929","bandwiz-system","tcp","Bandwiz System - Server"
"1929","bandwiz-system","udp","Bandwiz System - Server"
"1930","driveappserver","tcp","Drive AppServer"
"1930","driveappserver","udp","Drive AppServer"
"1931","amdsched","tcp","AMD SCHED"
"1931","amdsched","udp","AMD SCHED"
"1932","ctt-broker","tcp","CTT Broker"
"1932","ctt-broker","udp","CTT Broker"
"1933","xmapi","tcp","IBM LM MT Agent"
"1933","xmapi","udp","IBM LM MT Agent"
"1934","xaapi","tcp","IBM LM Appl Agent"
"1934","xaapi","udp","IBM LM Appl Agent"
"1935","macromedia-fcs","tcp","Macromedia Flash Communications Server MX"
"1935","macromedia-fcs","udp","Macromedia Flash Communications server MX"
"1936","jetcmeserver","tcp","JetCmeServer Server Port"
"1936","jetcmeserver","udp","JetCmeServer Server Port"
"1937","jwserver","tcp","JetVWay Server Port"
"1937","jwserver","udp","JetVWay Server Port"
"1938","jwclient","tcp","JetVWay Client Port"
"1938","jwclient","udp","JetVWay Client Port"
"1939","jvserver","tcp","JetVision Server Port"
"1939","jvserver","udp","JetVision Server Port"
"1940","jvclient","tcp","JetVision Client Port"
"1940","jvclient","udp","JetVision Client Port"
"1941","dic-aida","tcp","DIC-Aida"
"1941","dic-aida","udp","DIC-Aida"
"1942","res","tcp","Real Enterprise Service"
"1942","res","udp","Real Enterprise Service"
"1943","beeyond-media","tcp","Beeyond Media"
"1943","beeyond-media","udp","Beeyond Media"
"1944","close-combat","tcp","close-combat"
"1944","close-combat","udp","close-combat"
"1945","dialogic-elmd","tcp","dialogic-elmd"
"1945","dialogic-elmd","udp","dialogic-elmd"
"1946","tekpls","tcp","tekpls"
"1946","tekpls","udp","tekpls"
"1947","sentinelsrm","tcp","SentinelSRM"
"1947","sentinelsrm","udp","SentinelSRM"
"1948","eye2eye","tcp","eye2eye"
"1948","eye2eye","udp","eye2eye"
"1949","ismaeasdaqlive","tcp","ISMA Easdaq Live"
"1949","ismaeasdaqlive","udp","ISMA Easdaq Live"
"1950","ismaeasdaqtest","tcp","ISMA Easdaq Test"
"1950","ismaeasdaqtest","udp","ISMA Easdaq Test"
"1951","bcs-lmserver","tcp","bcs-lmserver"
"1951","bcs-lmserver","udp","bcs-lmserver"
"1952","mpnjsc","tcp","mpnjsc"
"1952","mpnjsc","udp","mpnjsc"
"1953","rapidbase","tcp","Rapid Base"
"1953","rapidbase","udp","Rapid Base"
"1954","abr-api","tcp","ABR-API (diskbridge)"
"1954","abr-api","udp","ABR-API (diskbridge)"
"1955","abr-secure","tcp","ABR-Secure Data (diskbridge)"
"1955","abr-secure","udp","ABR-Secure Data (diskbridge)"
"1956","vrtl-vmf-ds","tcp","Vertel VMF DS"
"1956","vrtl-vmf-ds","udp","Vertel VMF DS"
"1957","unix-status","tcp","unix-status"
"1957","unix-status","udp","unix-status"
"1958","dxadmind","tcp","CA Administration Daemon"
"1958","dxadmind","udp","CA Administration Daemon"
"1959","simp-all","tcp","SIMP Channel"
"1959","simp-all","udp","SIMP Channel"
"1960","nasmanager","tcp","Merit DAC NASmanager"
"1960","nasmanager","udp","Merit DAC NASmanager"
"1961","bts-appserver","tcp","BTS APPSERVER"
"1961","bts-appserver","udp","BTS APPSERVER"
"1962","biap-mp","tcp","BIAP-MP"
"1962","biap-mp","udp","BIAP-MP"
"1963","webmachine","tcp","WebMachine"
"1963","webmachine","udp","WebMachine"
"1964","solid-e-engine","tcp","SOLID E ENGINE"
"1964","solid-e-engine","udp","SOLID E ENGINE"
"1965","tivoli-npm","tcp","Tivoli NPM"
"1965","tivoli-npm","udp","Tivoli NPM"
"1966","slush","tcp","Slush"
"1966","slush","udp","Slush"
"1967","sns-quote","tcp","SNS Quote"
"1967","sns-quote","udp","SNS Quote"
"1968","lipsinc","tcp","LIPSinc"
"1968","lipsinc","udp","LIPSinc"
"1969","lipsinc1","tcp","LIPSinc 1"
"1969","lipsinc1","udp","LIPSinc 1"
"1970","netop-rc","tcp","NetOp Remote Control"
"1970","netop-rc","udp","NetOp Remote Control"
"1971","netop-school","tcp","NetOp School"
"1971","netop-school","udp","NetOp School"
"1972","intersys-cache","tcp","Cache"
"1972","intersys-cache","udp","Cache"
"1973","dlsrap","tcp","Data Link Switching Remote Access Protocol"
"1973","dlsrap","udp","Data Link Switching Remote Access Protocol"
"1974","drp","tcp","DRP"
"1974","drp","udp","DRP"
"1975","tcoflashagent","tcp","TCO Flash Agent"
"1975","tcoflashagent","udp","TCO Flash Agent"
"1976","tcoregagent","tcp","TCO Reg Agent"
"1976","tcoregagent","udp","TCO Reg Agent"
"1977","tcoaddressbook","tcp","TCO Address Book"
"1977","tcoaddressbook","udp","TCO Address Book"
"1978","unisql","tcp","UniSQL"
"1978","unisql","udp","UniSQL"
"1979","unisql-java","tcp","UniSQL Java"
"1979","unisql-java","udp","UniSQL Java"
"1980","pearldoc-xact","tcp","PearlDoc XACT"
"1980","pearldoc-xact","udp","PearlDoc XACT"
"1981","p2pq","tcp","p2pQ"
"1981","p2pq","udp","p2pQ"
"1982","estamp","tcp","Evidentiary Timestamp"
"1982","estamp","udp","Evidentiary Timestamp"
"1983","lhtp","tcp","Loophole Test Protocol"
"1983","lhtp","udp","Loophole Test Protocol"
"1984","bb","tcp","BB"
"1984","bb","udp","BB"
"1985","hsrp","tcp","Hot Standby Router Protocol"
"1985","hsrp","udp","Hot Standby Router Protocol"
"1986","licensedaemon","tcp","cisco license management"
"1986","licensedaemon","udp","cisco license management"
"1987","tr-rsrb-p1","tcp","cisco RSRB Priority 1 port"
"1987","tr-rsrb-p1","udp","cisco RSRB Priority 1 port"
"1988","tr-rsrb-p2","tcp","cisco RSRB Priority 2 port"
"1988","tr-rsrb-p2","udp","cisco RSRB Priority 2 port"
"1989","tr-rsrb-p3","tcp","cisco RSRB Priority 3 port"
"1989","tr-rsrb-p3","udp","cisco RSRB Priority 3 port"
"1989","mshnet","tcp","MHSnet system"
"1989","mshnet","udp","MHSnet system"
"1990","stun-p1","tcp","cisco STUN Priority 1 port"
"1990","stun-p1","udp","cisco STUN Priority 1 port"
"1991","stun-p2","tcp","cisco STUN Priority 2 port"
"1991","stun-p2","udp","cisco STUN Priority 2 port"
"1992","stun-p3","tcp","cisco STUN Priority 3 port"
"1992","stun-p3","udp","cisco STUN Priority 3 port"
"1992","ipsendmsg","tcp","IPsendmsg"
"1992","ipsendmsg","udp","IPsendmsg"
"1993","snmp-tcp-port","tcp","cisco SNMP TCP port"
"1993","snmp-tcp-port","udp","cisco SNMP TCP port"
"1994","stun-port","tcp","cisco serial tunnel port"
"1994","stun-port","udp","cisco serial tunnel port"
"1995","perf-port","tcp","cisco perf port"
"1995","perf-port","udp","cisco perf port"
"1996","tr-rsrb-port","tcp","cisco Remote SRB port"
"1996","tr-rsrb-port","udp","cisco Remote SRB port"
"1997","gdp-port","tcp","cisco Gateway Discovery Protocol"
"1997","gdp-port","udp","cisco Gateway Discovery Protocol"
"1998","x25-svc-port","tcp","cisco X.25 service (XOT)"
"1998","x25-svc-port","udp","cisco X.25 service (XOT)"
"1999","tcp-id-port","tcp","cisco identification port"
"1999","tcp-id-port","udp","cisco identification port"
"2000","cisco-sccp","tcp","Cisco SCCP"
"2000","cisco-sccp","udp","Cisco SCCp"
"2001","dc","tcp",""
"2001","wizard","udp","curry"
"2002","globe","tcp",""
"2002","globe","udp",""
"2003","brutus","tcp","Brutus Server"
"2003","brutus","udp","Brutus Server"
"2004","mailbox","tcp",""
"2004","emce","udp","CCWS mm conf"
"2005","berknet","tcp",""
"2005","oracle","udp",""
"2006","invokator","tcp",""
"2006","raid-cd","udp","raid"
"2007","dectalk","tcp",""
"2007","raid-am","udp",""
"2008","conf","tcp",""
"2008","terminaldb","udp",""
"2009","news","tcp",""
"2009","whosockami","udp",""
"2010","search","tcp",""
"2010","pipe-server","udp","IANA assigned this well-formed service name as a replacement for ""pipe_server""."
"2010","pipe_server","udp",""
"2011","raid-cc","tcp","raid"
"2011","servserv","udp",""
"2012","ttyinfo","tcp",""
"2012","raid-ac","udp",""
"2013","raid-am","tcp",""
"2013","raid-cd","udp",""
"2014","troff","tcp",""
"2014","raid-sf","udp",""
"2015","cypress","tcp",""
"2015","raid-cs","udp",""
"2016","bootserver","tcp",""
"2016","bootserver","udp",""
"2017","cypress-stat","tcp",""
"2017","bootclient","udp",""
"2018","terminaldb","tcp",""
"2018","rellpack","udp",""
"2019","whosockami","tcp",""
"2019","about","udp",""
"2020","xinupageserver","tcp",""
"2020","xinupageserver","udp",""
"2021","servexec","tcp",""
"2021","xinuexpansion1","udp",""
"2022","down","tcp",""
"2022","xinuexpansion2","udp",""
"2023","xinuexpansion3","tcp",""
"2023","xinuexpansion3","udp",""
"2024","xinuexpansion4","tcp",""
"2024","xinuexpansion4","udp",""
"2025","ellpack","tcp",""
"2025","xribs","udp",""
"2026","scrabble","tcp",""
"2026","scrabble","udp",""
"2027","shadowserver","tcp",""
"2027","shadowserver","udp",""
"2028","submitserver","tcp",""
"2028","submitserver","udp",""
"2029","hsrpv6","tcp","Hot Standby Router Protocol IPv6"
"2029","hsrpv6","udp","Hot Standby Router Protocol IPv6"
"2030","device2","tcp",""
"2030","device2","udp",""
"2031","mobrien-chat","tcp","mobrien-chat"
"2031","mobrien-chat","udp","mobrien-chat"
"2032","blackboard","tcp",""
"2032","blackboard","udp",""
"2033","glogger","tcp",""
"2033","glogger","udp",""
"2034","scoremgr","tcp",""
"2034","scoremgr","udp",""
"2035","imsldoc","tcp",""
"2035","imsldoc","udp",""
"2036","e-dpnet","tcp","Ethernet WS DP network"
"2036","e-dpnet","udp","Ethernet WS DP network"
"2037","applus","tcp","APplus Application Server"
"2037","applus","udp","APplus Application Server"
"2038","objectmanager","tcp",""
"2038","objectmanager","udp",""
"2039","prizma","tcp","Prizma Monitoring Service"
"2039","prizma","udp","Prizma Monitoring Service"
"2040","lam","tcp",""
"2040","lam","udp",""
"2041","interbase","tcp",""
"2041","interbase","udp",""
"2042","isis","tcp","isis"
"2042","isis","udp","isis"
"2043","isis-bcast","tcp","isis-bcast"
"2043","isis-bcast","udp","isis-bcast"
"2044","rimsl","tcp",""
"2044","rimsl","udp",""
"2045","cdfunc","tcp",""
"2045","cdfunc","udp",""
"2046","sdfunc","tcp",""
"2046","sdfunc","udp",""
"2047","dls","tcp",""
"2047","dls","udp",""
"2048","dls-monitor","tcp",""
"2048","dls-monitor","udp",""
"2049","shilp","tcp",""
"2049","shilp","udp",""
"2049","nfs","tcp","Network File System - Sun Microsystems"
"2049","nfs","udp","Network File System - Sun Microsystems"
"2049","nfs","sctp","Network File System"
"2050","av-emb-config","tcp","Avaya EMB Config Port"
"2050","av-emb-config","udp","Avaya EMB Config Port"
"2051","epnsdp","tcp","EPNSDP"
"2051","epnsdp","udp","EPNSDP"
"2052","clearvisn","tcp","clearVisn Services Port"
"2052","clearvisn","udp","clearVisn Services Port"
"2053","lot105-ds-upd","tcp","Lot105 DSuper Updates"
"2053","lot105-ds-upd","udp","Lot105 DSuper Updates"
"2054","weblogin","tcp","Weblogin Port"
"2054","weblogin","udp","Weblogin Port"
"2055","iop","tcp","Iliad-Odyssey Protocol"
"2055","iop","udp","Iliad-Odyssey Protocol"
"2056","omnisky","tcp","OmniSky Port"
"2056","omnisky","udp","OmniSky Port"
"2057","rich-cp","tcp","Rich Content Protocol"
"2057","rich-cp","udp","Rich Content Protocol"
"2058","newwavesearch","tcp","NewWaveSearchables RMI"
"2058","newwavesearch","udp","NewWaveSearchables RMI"
"2059","bmc-messaging","tcp","BMC Messaging Service"
"2059","bmc-messaging","udp","BMC Messaging Service"
"2060","teleniumdaemon","tcp","Telenium Daemon IF"
"2060","teleniumdaemon","udp","Telenium Daemon IF"
"2061","netmount","tcp","NetMount"
"2061","netmount","udp","NetMount"
"2062","icg-swp","tcp","ICG SWP Port"
"2062","icg-swp","udp","ICG SWP Port"
"2063","icg-bridge","tcp","ICG Bridge Port"
"2063","icg-bridge","udp","ICG Bridge Port"
"2064","icg-iprelay","tcp","ICG IP Relay Port"
"2064","icg-iprelay","udp","ICG IP Relay Port"
"2065","dlsrpn","tcp","Data Link Switch Read Port Number"
"2065","dlsrpn","udp","Data Link Switch Read Port Number"
"2066","aura","tcp","AVM USB Remote Architecture"
"2066","aura","udp","AVM USB Remote Architecture"
"2067","dlswpn","tcp","Data Link Switch Write Port Number"
"2067","dlswpn","udp","Data Link Switch Write Port Number"
"2068","avauthsrvprtcl","tcp","Avocent AuthSrv Protocol"
"2068","avauthsrvprtcl","udp","Avocent AuthSrv Protocol"
"2069","event-port","tcp","HTTP Event Port"
"2069","event-port","udp","HTTP Event Port"
"2070","ah-esp-encap","tcp","AH and ESP Encapsulated in UDP packet"
"2070","ah-esp-encap","udp","AH and ESP Encapsulated in UDP packet"
"2071","acp-port","tcp","Axon Control Protocol"
"2071","acp-port","udp","Axon Control Protocol"
"2072","msync","tcp","GlobeCast mSync"
"2072","msync","udp","GlobeCast mSync"
"2073","gxs-data-port","tcp","DataReel Database Socket"
"2073","gxs-data-port","udp","DataReel Database Socket"
"2074","vrtl-vmf-sa","tcp","Vertel VMF SA"
"2074","vrtl-vmf-sa","udp","Vertel VMF SA"
"2075","newlixengine","tcp","Newlix ServerWare Engine"
"2075","newlixengine","udp","Newlix ServerWare Engine"
"2076","newlixconfig","tcp","Newlix JSPConfig"
"2076","newlixconfig","udp","Newlix JSPConfig"
"2077","tsrmagt","tcp","Old Tivoli Storage Manager"
"2077","tsrmagt","udp","Old Tivoli Storage Manager"
